[792, 612]
[folio, [277.0, 65.0, 80.0, 18.0], GiLHnhG7zZ, 6493814]
[paragraph, [113.0, 88.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 106.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 124.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 142.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 160.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 178.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 196.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 214.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 232.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 250.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 268.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 286.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 304.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 322.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 340.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 358.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 376.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 394.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 412.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [113.0, 430.0, 203.0, 18.0], kFLEWnNQF1, 6493814]
[paragraph, [114.0, 453.0, 409.0, 18.0], 0kuws-L0As, 6493814]
[paragraph, [114.0, 471.0, 409.0, 18.0], 0kuws-L0As, 6493814]
[paragraph, [115.0, 502.0, 412.0, 18.0], shoonya_0sIDPRD5MNJ3PT, 6493814]
[paragraph, [115.0, 520.0, 412.0, 18.0], shoonya_0sIDPRD5MNJ3PT, 6493814]
[paragraph, [115.0, 538.0, 412.0, 18.0], shoonya_0sIDPRD5MNJ3PT, 6493814]
[paragraph, [115.0, 556.0, 412.0, 18.0], shoonya_0sIDPRD5MNJ3PT, 6493814]
[paragraph, [115.0, 574.0, 412.0, 18.0], shoonya_0sIDPRD5MNJ3PT, 6493814]
[paragraph, [115.0, 592.0, 412.0, 18.0], shoonya_0sIDPRD5MNJ3PT, 6493814]
[paragraph, [115.0, 610.0, 412.0, 18.0], shoonya_0sIDPRD5MNJ3PT, 6493814]
[paragraph, [115.0, 628.0, 412.0, 18.0], shoonya_0sIDPRD5MNJ3PT, 6493814]
[paragraph, [115.0, 646.0, 412.0, 18.0], shoonya_0sIDPRD5MNJ3PT, 6493814]
[paragraph, [115.0, 664.0, 412.0, 18.0], shoonya_0sIDPRD5MNJ3PT, 6493814]
[paragraph, [115.0, 682.0, 412.0, 18.0], shoonya_0sIDPRD5MNJ3PT, 6493814]
[paragraph, [115.0, 700.0, 412.0, 18.0], shoonya_0sIDPRD5MNJ3PT, 6493814]
[paragraph, [115.0, 718.0, 412.0, 18.0], shoonya_0sIDPRD5MNJ3PT, 6493814]
