[3508, 2481]
[contact-info, [537.0, 99.0, 1374.0, 52.5], EQdnKUpVSc, 6515746]
[contact-info, [537.0, 151.5, 1374.0, 52.5], EQdnKUpVSc, 6515746]
[contact-info, [683.0, 456.0, 1136.0, 52.5], vS82HydA3A, 6515746]
[contact-info, [683.0, 508.5, 1136.0, 52.5], vS82HydA3A, 6515746]
[contact-info, [683.0, 561.0, 1136.0, 52.5], vS82HydA3A, 6515746]
[section-title, [998.0, 679.0, 457.0, 93.0], hn2oJfVW32, 6515746]
[folio, [629.0, 890.0, 1240.0, 52.5], 2tNKscOBuv, 6515746]
[folio, [629.0, 942.5, 1240.0, 52.5], 2tNKscOBuv, 6515746]
[dateline, [211.0, 1151.0, 410.0, 52.5], mAW_NKCzgD, 6515746]
[paragraph, [203.0, 1408.0, 280.0, 52.5], 90azaVErAx, 6515746]
[paragraph, [192.0, 1531.0, 2081.0, 52.5], Je6vWu9BZq, 6515746]
[paragraph, [192.0, 1583.5, 2081.0, 52.5], Je6vWu9BZq, 6515746]
[paragraph, [192.0, 1636.0, 2081.0, 52.5], Je6vWu9BZq, 6515746]
[paragraph, [192.0, 1688.5, 2081.0, 52.5], Je6vWu9BZq, 6515746]
[paragraph, [192.0, 1741.0, 2081.0, 52.5], Je6vWu9BZq, 6515746]
[paragraph, [192.0, 1793.5, 2081.0, 52.5], Je6vWu9BZq, 6515746]
[paragraph, [192.0, 1896.0, 2085.0, 52.5], cB8fgSEDau, 6515746]
[paragraph, [192.0, 1948.5, 2085.0, 52.5], cB8fgSEDau, 6515746]
[paragraph, [192.0, 2001.0, 2085.0, 52.5], cB8fgSEDau, 6515746]
[paragraph, [192.0, 2053.5, 2085.0, 52.5], cB8fgSEDau, 6515746]
[paragraph, [192.0, 2106.0, 2085.0, 52.5], cB8fgSEDau, 6515746]
[paragraph, [192.0, 2158.5, 2085.0, 52.5], cB8fgSEDau, 6515746]
[paragraph, [192.0, 2211.0, 2085.0, 52.5], cB8fgSEDau, 6515746]
[paragraph, [192.0, 2263.5, 2085.0, 52.5], cB8fgSEDau, 6515746]
[paragraph, [192.0, 2316.0, 2085.0, 52.5], cB8fgSEDau, 6515746]
[paragraph, [192.0, 2368.5, 2085.0, 52.5], cB8fgSEDau, 6515746]
[paragraph, [192.0, 2421.0, 2085.0, 52.5], cB8fgSEDau, 6515746]
[section-title, [211.0, 2598.0, 626.0, 93.0], _qPLQAdiae, 6515746]
[paragraph, [215.0, 2867.0, 2066.0, 52.5], fbTHqr9SDV, 6515746]
[paragraph, [215.0, 2919.5, 2066.0, 52.5], fbTHqr9SDV, 6515746]
[sub-section-title, [215.0, 3070.0, 437.0, 73.5], N3-TSkuSZv, 6515746]
[paragraph, [211.0, 3174.0, 660.0, 52.5], h7COSex7Ul, 6515746]
[paragraph, [211.0, 3226.5, 660.0, 52.5], h7COSex7Ul, 6515746]
