[1050, 693]
[folio, [514.0, 79.0, 88.0, 18.0], pOwAhRVi_y, 5702298]
[paragraph, [89.0, 125.0, 514.0, 18.0], shoonya_2sXEJZNO4Q0E1S, 5702298]
[paragraph, [89.0, 143.0, 514.0, 18.0], shoonya_2sXEJZNO4Q0E1S, 5702298]
[paragraph, [89.0, 161.0, 514.0, 18.0], shoonya_2sXEJZNO4Q0E1S, 5702298]
[paragraph, [83.0, 216.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 234.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 252.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 270.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 288.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 306.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 324.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 342.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 360.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 378.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 396.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 414.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 432.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 450.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 468.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 486.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 504.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 522.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 540.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 558.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 576.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 594.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 612.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 630.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 648.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 666.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [83.0, 684.0, 523.0, 18.0], shoonya_0s33BPH1WEHBWQ, 5702298]
[paragraph, [78.0, 724.0, 540.0, 18.0], otWJvYOhGn, 5702298]
[paragraph, [78.0, 742.0, 540.0, 18.0], otWJvYOhGn, 5702298]
[paragraph, [78.0, 760.0, 540.0, 18.0], otWJvYOhGn, 5702298]
[paragraph, [78.0, 778.0, 540.0, 18.0], otWJvYOhGn, 5702298]
[paragraph, [78.0, 796.0, 540.0, 18.0], otWJvYOhGn, 5702298]
[paragraph, [78.0, 814.0, 540.0, 18.0], otWJvYOhGn, 5702298]
[paragraph, [78.0, 832.0, 540.0, 18.0], otWJvYOhGn, 5702298]
[paragraph, [78.0, 850.0, 540.0, 18.0], otWJvYOhGn, 5702298]
[paragraph, [78.0, 868.0, 540.0, 18.0], otWJvYOhGn, 5702298]
[paragraph, [78.0, 886.0, 540.0, 18.0], otWJvYOhGn, 5702298]
[paragraph, [78.0, 904.0, 540.0, 18.0], otWJvYOhGn, 5702298]
[paragraph, [78.0, 922.0, 540.0, 18.0], otWJvYOhGn, 5702298]
[paragraph, [78.0, 940.0, 540.0, 18.0], otWJvYOhGn, 5702298]
[paragraph, [78.0, 958.0, 540.0, 18.0], otWJvYOhGn, 5702298]
