[2484, 1767]
[paragraph, [301.0, 382.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 418.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 454.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 490.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 526.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 562.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 598.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 634.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 670.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 706.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 742.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 778.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 814.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 850.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 886.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 922.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 958.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 994.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 1030.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[paragraph, [301.0, 1066.0, 1245.0, 36.0], shoonya_0sROCMLXI182E2, 5753236]
[section-title, [291.0, 1140.0, 146.0, 52.5], l9uZWqhMCn, 5753236]
[paragraph, [302.0, 1236.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1272.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1308.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1344.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1380.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1416.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1452.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1488.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1524.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1560.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1596.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1632.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1668.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1704.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1740.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1776.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1812.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1848.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1884.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1920.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1956.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [302.0, 1992.0, 1232.0, 36.0], shoonya_1sEJ452WE4OUXJ, 5753236]
[paragraph, [297.0, 2041.0, 1184.0, 36.0], 5ZG1-CUXTP, 5753236]
[paragraph, [297.0, 2077.0, 1184.0, 36.0], 5ZG1-CUXTP, 5753236]
[paragraph, [297.0, 2113.0, 1184.0, 36.0], 5ZG1-CUXTP, 5753236]
