[2319, 1694]
[paragraph, [326.0, 190.0, 1180.0, 36.0], shoonya_7s93QPXSHW3Z9Z, 5733720]
[paragraph, [326.0, 226.0, 1180.0, 36.0], shoonya_7s93QPXSHW3Z9Z, 5733720]
[paragraph, [326.0, 262.0, 1180.0, 36.0], shoonya_7s93QPXSHW3Z9Z, 5733720]
[paragraph, [326.0, 298.0, 1180.0, 36.0], shoonya_7s93QPXSHW3Z9Z, 5733720]
[paragraph, [326.0, 334.0, 1180.0, 36.0], shoonya_7s93QPXSHW3Z9Z, 5733720]
[paragraph, [326.0, 370.0, 1180.0, 36.0], shoonya_7s93QPXSHW3Z9Z, 5733720]
[paragraph, [325.0, 453.0, 1180.0, 36.0], shoonya_3s4NAOEAG6H2RV, 5733720]
[paragraph, [325.0, 489.0, 1180.0, 36.0], shoonya_3s4NAOEAG6H2RV, 5733720]
[paragraph, [325.0, 525.0, 1180.0, 36.0], shoonya_3s4NAOEAG6H2RV, 5733720]
[paragraph, [325.0, 561.0, 1180.0, 36.0], shoonya_3s4NAOEAG6H2RV, 5733720]
[paragraph, [325.0, 597.0, 1180.0, 36.0], shoonya_3s4NAOEAG6H2RV, 5733720]
[paragraph, [325.0, 633.0, 1180.0, 36.0], shoonya_3s4NAOEAG6H2RV, 5733720]
[section-title, [330.0, 713.0, 388.0, 52.5], shoonya_2sQEYZFUJKEJ6Z, 5733720]
[paragraph, [320.0, 812.0, 1181.0, 36.0], shoonya_1sX76YBGG9R8BW, 5733720]
[paragraph, [320.0, 848.0, 1181.0, 36.0], shoonya_1sX76YBGG9R8BW, 5733720]
[paragraph, [320.0, 884.0, 1181.0, 36.0], shoonya_1sX76YBGG9R8BW, 5733720]
[paragraph, [320.0, 920.0, 1181.0, 36.0], shoonya_1sX76YBGG9R8BW, 5733720]
[paragraph, [320.0, 956.0, 1181.0, 36.0], shoonya_1sX76YBGG9R8BW, 5733720]
[paragraph, [320.0, 992.0, 1181.0, 36.0], shoonya_1sX76YBGG9R8BW, 5733720]
[paragraph, [320.0, 1028.0, 1181.0, 36.0], shoonya_1sX76YBGG9R8BW, 5733720]
[paragraph, [316.0, 1135.0, 1182.0, 36.0], shoonya_5sSOO4JI6R1L2Q, 5733720]
[paragraph, [316.0, 1171.0, 1182.0, 36.0], shoonya_5sSOO4JI6R1L2Q, 5733720]
[paragraph, [316.0, 1207.0, 1182.0, 36.0], shoonya_5sSOO4JI6R1L2Q, 5733720]
[paragraph, [316.0, 1243.0, 1182.0, 36.0], shoonya_5sSOO4JI6R1L2Q, 5733720]
[paragraph, [316.0, 1279.0, 1182.0, 36.0], shoonya_5sSOO4JI6R1L2Q, 5733720]
[paragraph, [316.0, 1315.0, 1182.0, 36.0], shoonya_5sSOO4JI6R1L2Q, 5733720]
[paragraph, [309.0, 1500.0, 1192.0, 36.0], shoonya_0sHPQ1YLTU35R7, 5733720]
[paragraph, [309.0, 1536.0, 1192.0, 36.0], shoonya_0sHPQ1YLTU35R7, 5733720]
[paragraph, [309.0, 1572.0, 1192.0, 36.0], shoonya_0sHPQ1YLTU35R7, 5733720]
[paragraph, [309.0, 1608.0, 1192.0, 36.0], shoonya_0sHPQ1YLTU35R7, 5733720]
[paragraph, [309.0, 1644.0, 1192.0, 36.0], shoonya_0sHPQ1YLTU35R7, 5733720]
[paragraph, [309.0, 1680.0, 1192.0, 36.0], shoonya_0sHPQ1YLTU35R7, 5733720]
[paragraph, [309.0, 1716.0, 1192.0, 36.0], shoonya_0sHPQ1YLTU35R7, 5733720]
[paragraph, [309.0, 1752.0, 1192.0, 36.0], shoonya_0sHPQ1YLTU35R7, 5733720]
[paragraph, [309.0, 1788.0, 1192.0, 36.0], shoonya_0sHPQ1YLTU35R7, 5733720]
[paragraph, [309.0, 1824.0, 1192.0, 36.0], shoonya_0sHPQ1YLTU35R7, 5733720]
[paragraph, [309.0, 1860.0, 1192.0, 36.0], shoonya_0sHPQ1YLTU35R7, 5733720]
