[1275, 750]
[folio, [229.0, 87.0, 289.0, 18.0], shoonya_1sFAB7MID728YT, 5767079]
[folio, [229.0, 105.0, 289.0, 18.0], shoonya_1sFAB7MID728YT, 5767079]
[paragraph, [76.0, 156.0, 604.0, 18.0], Fq-7b_PDh8, 5767079]
[paragraph, [76.0, 174.0, 604.0, 18.0], Fq-7b_PDh8, 5767079]
[paragraph, [76.0, 192.0, 604.0, 18.0], Fq-7b_PDh8, 5767079]
[paragraph, [76.0, 210.0, 604.0, 18.0], Fq-7b_PDh8, 5767079]
[paragraph, [76.0, 228.0, 604.0, 18.0], Fq-7b_PDh8, 5767079]
[ordered-list, [63.0, 251.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 269.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 287.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 305.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 323.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 341.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 359.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 377.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 395.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 413.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 431.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 449.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 467.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 485.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 503.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 521.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 539.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 557.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 575.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 593.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 611.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 629.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 647.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 665.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 683.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 701.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 719.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 737.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 755.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 773.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 791.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 809.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 827.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 845.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 863.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 881.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 899.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 917.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 935.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 953.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 971.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 989.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 1007.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 1025.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 1043.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 1061.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 1079.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 1097.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 1115.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 1133.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 1151.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
[ordered-list, [63.0, 1169.0, 629.0, 18.0], bqn3KQaBCI, 5767079]
