[1200, 825]
[paragraph, [147.0, 112.0, 529.0, 18.0], shoonya_0s0R50Y7SYGEKI, 5690741]
[paragraph, [147.0, 130.0, 529.0, 18.0], shoonya_0s0R50Y7SYGEKI, 5690741]
[paragraph, [147.0, 148.0, 529.0, 18.0], shoonya_0s0R50Y7SYGEKI, 5690741]
[paragraph, [147.0, 166.0, 529.0, 18.0], shoonya_0s0R50Y7SYGEKI, 5690741]
[paragraph, [147.0, 184.0, 529.0, 18.0], shoonya_0s0R50Y7SYGEKI, 5690741]
[paragraph, [147.0, 202.0, 529.0, 18.0], shoonya_0s0R50Y7SYGEKI, 5690741]
[paragraph, [147.0, 220.0, 529.0, 18.0], shoonya_0s0R50Y7SYGEKI, 5690741]
[paragraph, [147.0, 238.0, 529.0, 18.0], shoonya_0s0R50Y7SYGEKI, 5690741]
[paragraph, [147.0, 256.0, 529.0, 18.0], shoonya_0s0R50Y7SYGEKI, 5690741]
[paragraph, [147.0, 274.0, 529.0, 18.0], shoonya_0s0R50Y7SYGEKI, 5690741]
[paragraph, [147.0, 292.0, 529.0, 18.0], shoonya_0s0R50Y7SYGEKI, 5690741]
[paragraph, [147.0, 310.0, 529.0, 18.0], shoonya_0s0R50Y7SYGEKI, 5690741]
[paragraph, [147.0, 328.0, 529.0, 18.0], shoonya_0s0R50Y7SYGEKI, 5690741]
[paragraph, [139.0, 357.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 375.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 393.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 411.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 429.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 447.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 465.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 483.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 501.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 519.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 537.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 555.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 573.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 591.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 609.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 627.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 645.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [139.0, 663.0, 542.0, 18.0], 4SsCL_I_9f, 5690741]
[paragraph, [138.0, 691.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 709.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 727.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 745.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 763.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 781.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 799.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 817.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 835.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 853.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 871.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 889.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 907.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 925.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 943.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 961.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 979.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 997.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 1015.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
[paragraph, [138.0, 1033.0, 541.0, 18.0], HIOdiYjyXw, 5690741]
