[681, 511]
[folio, [58.0, 21.0, 128.0, 18.0], shoonya_1s89J4HEMLUN8K, 5761369]
[paragraph, [30.0, 55.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 73.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 91.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 109.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 127.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 145.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 163.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 181.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 199.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 217.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 235.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 253.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 271.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 289.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 307.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 325.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 343.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 361.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 379.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 397.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 415.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 433.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 451.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [30.0, 469.0, 223.0, 18.0], MIEROhmyYK, 5761369]
[paragraph, [256.0, 55.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 73.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 91.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 109.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 127.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 145.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 163.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 181.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 199.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 217.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 235.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 253.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 271.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 289.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 307.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 325.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 343.0, 223.0, 18.0], dB9YJFrNiw, 5761369]
[paragraph, [256.0, 365.0, 223.0, 18.0], ct55t-IxXu, 5761369]
[paragraph, [256.0, 383.0, 223.0, 18.0], ct55t-IxXu, 5761369]
[paragraph, [256.0, 401.0, 223.0, 18.0], ct55t-IxXu, 5761369]
[paragraph, [256.0, 419.0, 223.0, 18.0], ct55t-IxXu, 5761369]
[paragraph, [256.0, 437.0, 223.0, 18.0], ct55t-IxXu, 5761369]
[paragraph, [256.0, 455.0, 223.0, 18.0], ct55t-IxXu, 5761369]
[paragraph, [256.0, 473.0, 223.0, 18.0], ct55t-IxXu, 5761369]
[paragraph, [256.0, 491.0, 223.0, 18.0], ct55t-IxXu, 5761369]
[paragraph, [256.0, 509.0, 223.0, 18.0], ct55t-IxXu, 5761369]
[paragraph, [256.0, 527.0, 223.0, 18.0], ct55t-IxXu, 5761369]
[paragraph, [256.0, 545.0, 223.0, 18.0], ct55t-IxXu, 5761369]
[paragraph, [256.0, 563.0, 223.0, 18.0], ct55t-IxXu, 5761369]
[paragraph, [256.0, 581.0, 223.0, 18.0], ct55t-IxXu, 5761369]
[paragraph, [256.0, 599.0, 223.0, 18.0], ct55t-IxXu, 5761369]
[paragraph, [256.0, 617.0, 223.0, 18.0], ct55t-IxXu, 5761369]
[paragraph, [29.0, 496.0, 223.0, 18.0], 5rej5Qszbg, 5761369]
[paragraph, [29.0, 514.0, 223.0, 18.0], 5rej5Qszbg, 5761369]
[paragraph, [29.0, 532.0, 223.0, 18.0], 5rej5Qszbg, 5761369]
[paragraph, [29.0, 550.0, 223.0, 18.0], 5rej5Qszbg, 5761369]
[paragraph, [29.0, 568.0, 223.0, 18.0], 5rej5Qszbg, 5761369]
[paragraph, [29.0, 586.0, 223.0, 18.0], 5rej5Qszbg, 5761369]
[paragraph, [29.0, 604.0, 223.0, 18.0], 5rej5Qszbg, 5761369]
[paragraph, [29.0, 622.0, 223.0, 18.0], 5rej5Qszbg, 5761369]
