[1241, 827]
[sub-section-title, [201.0, 96.0, 424.0, 25.5], shoonya_2sNTY7ID5H40IC, 5715947]
[figure-caption, [247.0, 220.0, 225.0, 18.0], 4FoIek48br, 5715947]
[figure-caption, [247.0, 238.0, 225.0, 18.0], 4FoIek48br, 5715947]
[figure-caption, [247.0, 256.0, 225.0, 18.0], 4FoIek48br, 5715947]
[figure-caption, [247.0, 274.0, 225.0, 18.0], 4FoIek48br, 5715947]
[figure-caption, [247.0, 292.0, 225.0, 18.0], 4FoIek48br, 5715947]
[figure-caption, [62.0, 867.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 885.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 903.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 921.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 939.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 957.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 975.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 993.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 1011.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 1029.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 1047.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 1065.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 1083.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 1101.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 1119.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 1137.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
[figure-caption, [62.0, 1155.0, 736.0, 18.0], bQg3Vd9v0C, 5715947]
