[1004, 621]
[paragraph, [195.0, 101.0, 212.0, 18.0], shoonya_2s7W14LWAGP1E1, 5741278]
[paragraph, [195.0, 119.0, 212.0, 18.0], shoonya_2s7W14LWAGP1E1, 5741278]
[paragraph, [195.0, 137.0, 212.0, 18.0], shoonya_2s7W14LWAGP1E1, 5741278]
[paragraph, [195.0, 155.0, 212.0, 18.0], shoonya_2s7W14LWAGP1E1, 5741278]
[paragraph, [41.0, 182.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 200.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 218.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 236.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 254.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 272.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 290.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 308.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 326.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 344.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 362.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 380.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 398.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 416.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 434.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 452.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 470.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 488.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 506.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 524.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 542.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 560.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [41.0, 578.0, 539.0, 18.0], HDCRgFU6ff, 5741278]
[paragraph, [39.0, 619.0, 537.0, 18.0], shoonya_0sIYLI7I2HXWWO, 5741278]
[paragraph, [39.0, 637.0, 537.0, 18.0], shoonya_0sIYLI7I2HXWWO, 5741278]
[paragraph, [39.0, 655.0, 537.0, 18.0], shoonya_0sIYLI7I2HXWWO, 5741278]
[paragraph, [39.0, 673.0, 537.0, 18.0], shoonya_0sIYLI7I2HXWWO, 5741278]
[paragraph, [39.0, 691.0, 537.0, 18.0], shoonya_0sIYLI7I2HXWWO, 5741278]
[paragraph, [39.0, 709.0, 537.0, 18.0], shoonya_0sIYLI7I2HXWWO, 5741278]
[paragraph, [39.0, 727.0, 537.0, 18.0], shoonya_0sIYLI7I2HXWWO, 5741278]
[paragraph, [39.0, 745.0, 537.0, 18.0], shoonya_0sIYLI7I2HXWWO, 5741278]
[paragraph, [39.0, 763.0, 537.0, 18.0], shoonya_0sIYLI7I2HXWWO, 5741278]
[paragraph, [37.0, 802.0, 541.0, 18.0], shoonya_1sHS4MHQ4GJPFI, 5741278]
[paragraph, [37.0, 820.0, 541.0, 18.0], shoonya_1sHS4MHQ4GJPFI, 5741278]
[paragraph, [37.0, 838.0, 541.0, 18.0], shoonya_1sHS4MHQ4GJPFI, 5741278]
[paragraph, [37.0, 856.0, 541.0, 18.0], shoonya_1sHS4MHQ4GJPFI, 5741278]
[paragraph, [37.0, 874.0, 541.0, 18.0], shoonya_1sHS4MHQ4GJPFI, 5741278]
[paragraph, [37.0, 892.0, 541.0, 18.0], shoonya_1sHS4MHQ4GJPFI, 5741278]
[paragraph, [37.0, 910.0, 541.0, 18.0], shoonya_1sHS4MHQ4GJPFI, 5741278]
[paragraph, [37.0, 928.0, 541.0, 18.0], shoonya_1sHS4MHQ4GJPFI, 5741278]
