[1220, 755]
[paragraph, [49.0, 52.0, 662.0, 18.0], shoonya_0sV9TMDEIIAEHN, 6469890]
[paragraph, [49.0, 70.0, 662.0, 18.0], shoonya_0sV9TMDEIIAEHN, 6469890]
[paragraph, [49.0, 88.0, 662.0, 18.0], shoonya_0sV9TMDEIIAEHN, 6469890]
[paragraph, [49.0, 106.0, 662.0, 18.0], shoonya_0sV9TMDEIIAEHN, 6469890]
[paragraph, [49.0, 124.0, 662.0, 18.0], shoonya_0sV9TMDEIIAEHN, 6469890]
[paragraph, [49.0, 142.0, 662.0, 18.0], shoonya_0sV9TMDEIIAEHN, 6469890]
[paragraph, [49.0, 178.0, 661.0, 18.0], SGqwh6Ah9N, 6469890]
[paragraph, [49.0, 196.0, 661.0, 18.0], SGqwh6Ah9N, 6469890]
[paragraph, [49.0, 214.0, 661.0, 18.0], SGqwh6Ah9N, 6469890]
[paragraph, [49.0, 232.0, 661.0, 18.0], SGqwh6Ah9N, 6469890]
[paragraph, [49.0, 250.0, 661.0, 18.0], SGqwh6Ah9N, 6469890]
[paragraph, [49.0, 268.0, 661.0, 18.0], SGqwh6Ah9N, 6469890]
[paragraph, [49.0, 286.0, 661.0, 18.0], SGqwh6Ah9N, 6469890]
[paragraph, [49.0, 304.0, 661.0, 18.0], SGqwh6Ah9N, 6469890]
[paragraph, [49.0, 322.0, 661.0, 18.0], SGqwh6Ah9N, 6469890]
[paragraph, [49.0, 340.0, 661.0, 18.0], SGqwh6Ah9N, 6469890]
[paragraph, [50.0, 368.0, 662.0, 18.0], mrB1t9-5ag, 6469890]
[paragraph, [50.0, 386.0, 662.0, 18.0], mrB1t9-5ag, 6469890]
[paragraph, [50.0, 404.0, 662.0, 18.0], mrB1t9-5ag, 6469890]
[paragraph, [84.0, 432.0, 607.0, 18.0], EFbU8SeRpC, 6469890]
[paragraph, [84.0, 450.0, 607.0, 18.0], EFbU8SeRpC, 6469890]
[paragraph, [54.0, 473.0, 642.0, 18.0], m9DwfXK0iX, 6469890]
[paragraph, [54.0, 491.0, 642.0, 18.0], m9DwfXK0iX, 6469890]
[paragraph, [54.0, 509.0, 642.0, 18.0], m9DwfXK0iX, 6469890]
[paragraph, [54.0, 527.0, 642.0, 18.0], m9DwfXK0iX, 6469890]
[paragraph, [54.0, 545.0, 642.0, 18.0], m9DwfXK0iX, 6469890]
[paragraph, [54.0, 563.0, 642.0, 18.0], m9DwfXK0iX, 6469890]
[paragraph, [54.0, 581.0, 642.0, 18.0], m9DwfXK0iX, 6469890]
[paragraph, [54.0, 599.0, 642.0, 18.0], m9DwfXK0iX, 6469890]
[paragraph, [88.0, 630.0, 530.0, 18.0], AfySMgMIQq, 6469890]
[paragraph, [53.0, 665.0, 638.0, 18.0], --panTqVoB, 6469890]
[paragraph, [53.0, 683.0, 638.0, 18.0], --panTqVoB, 6469890]
[paragraph, [53.0, 701.0, 638.0, 18.0], --panTqVoB, 6469890]
[paragraph, [53.0, 719.0, 638.0, 18.0], --panTqVoB, 6469890]
[paragraph, [53.0, 737.0, 638.0, 18.0], --panTqVoB, 6469890]
[paragraph, [53.0, 761.0, 639.0, 18.0], tT1UANkTvI, 6469890]
[paragraph, [53.0, 779.0, 639.0, 18.0], tT1UANkTvI, 6469890]
[paragraph, [53.0, 797.0, 639.0, 18.0], tT1UANkTvI, 6469890]
[paragraph, [51.0, 826.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
[paragraph, [51.0, 844.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
[paragraph, [51.0, 862.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
[paragraph, [51.0, 880.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
[paragraph, [51.0, 898.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
[paragraph, [51.0, 916.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
[paragraph, [51.0, 934.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
[paragraph, [51.0, 952.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
[paragraph, [51.0, 970.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
[paragraph, [51.0, 988.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
[paragraph, [51.0, 1006.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
[paragraph, [51.0, 1024.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
[paragraph, [51.0, 1042.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
[paragraph, [51.0, 1060.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
[paragraph, [51.0, 1078.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
[paragraph, [51.0, 1096.0, 645.0, 18.0], J_kqbz4p8b, 6469890]
