[2230, 1630]
[chapter-title, [590.0, 122.0, 440.0, 70.5], shoonya_0sSSSHG1GGY3C3, 5758243]
[paragraph, [77.0, 247.0, 1456.0, 36.0], shoonya_2s3609NM59FPQM, 5758243]
[paragraph, [77.0, 283.0, 1456.0, 36.0], shoonya_2s3609NM59FPQM, 5758243]
[paragraph, [77.0, 319.0, 1456.0, 36.0], shoonya_2s3609NM59FPQM, 5758243]
[paragraph, [77.0, 355.0, 1456.0, 36.0], shoonya_2s3609NM59FPQM, 5758243]
[paragraph, [77.0, 391.0, 1456.0, 36.0], shoonya_2s3609NM59FPQM, 5758243]
[paragraph, [77.0, 427.0, 1456.0, 36.0], shoonya_2s3609NM59FPQM, 5758243]
[paragraph, [77.0, 463.0, 1456.0, 36.0], shoonya_2s3609NM59FPQM, 5758243]
[paragraph, [77.0, 499.0, 1456.0, 36.0], shoonya_2s3609NM59FPQM, 5758243]
[paragraph, [77.0, 535.0, 1456.0, 36.0], shoonya_2s3609NM59FPQM, 5758243]
[paragraph, [77.0, 571.0, 1456.0, 36.0], shoonya_2s3609NM59FPQM, 5758243]
[paragraph, [77.0, 607.0, 1456.0, 36.0], shoonya_2s3609NM59FPQM, 5758243]
[paragraph, [77.0, 643.0, 1456.0, 36.0], shoonya_2s3609NM59FPQM, 5758243]
[paragraph, [79.0, 683.0, 1463.0, 36.0], I5PKqy841Q, 5758243]
[paragraph, [79.0, 719.0, 1463.0, 36.0], I5PKqy841Q, 5758243]
[paragraph, [79.0, 755.0, 1463.0, 36.0], I5PKqy841Q, 5758243]
[paragraph, [79.0, 791.0, 1463.0, 36.0], I5PKqy841Q, 5758243]
[paragraph, [79.0, 827.0, 1463.0, 36.0], I5PKqy841Q, 5758243]
[paragraph, [79.0, 863.0, 1463.0, 36.0], I5PKqy841Q, 5758243]
[paragraph, [79.0, 899.0, 1463.0, 36.0], I5PKqy841Q, 5758243]
[paragraph, [79.0, 935.0, 1463.0, 36.0], I5PKqy841Q, 5758243]
[paragraph, [79.0, 971.0, 1463.0, 36.0], I5PKqy841Q, 5758243]
[paragraph, [79.0, 1007.0, 1463.0, 36.0], I5PKqy841Q, 5758243]
[paragraph, [79.0, 1043.0, 1463.0, 36.0], I5PKqy841Q, 5758243]
[paragraph, [79.0, 1079.0, 1463.0, 36.0], I5PKqy841Q, 5758243]
[paragraph, [79.0, 1115.0, 1463.0, 36.0], I5PKqy841Q, 5758243]
[paragraph, [79.0, 1151.0, 1463.0, 36.0], I5PKqy841Q, 5758243]
[paragraph, [79.0, 1187.0, 1463.0, 36.0], I5PKqy841Q, 5758243]
