[2338, 1654]
[paragraph, [187.0, 189.0, 1288.0, 36.0], shoonya_0sPTIHKZXFPU1Q, 5753896]
[paragraph, [187.0, 225.0, 1288.0, 36.0], shoonya_0sPTIHKZXFPU1Q, 5753896]
[paragraph, [187.0, 261.0, 1288.0, 36.0], shoonya_0sPTIHKZXFPU1Q, 5753896]
[paragraph, [187.0, 297.0, 1288.0, 36.0], shoonya_0sPTIHKZXFPU1Q, 5753896]
[paragraph, [187.0, 333.0, 1288.0, 36.0], shoonya_0sPTIHKZXFPU1Q, 5753896]
[paragraph, [187.0, 369.0, 1288.0, 36.0], shoonya_0sPTIHKZXFPU1Q, 5753896]
[paragraph, [187.0, 405.0, 1288.0, 36.0], shoonya_0sPTIHKZXFPU1Q, 5753896]
[paragraph, [187.0, 441.0, 1288.0, 36.0], shoonya_0sPTIHKZXFPU1Q, 5753896]
[paragraph, [187.0, 477.0, 1288.0, 36.0], shoonya_0sPTIHKZXFPU1Q, 5753896]
[paragraph, [187.0, 513.0, 1288.0, 36.0], shoonya_0sPTIHKZXFPU1Q, 5753896]
[paragraph, [187.0, 549.0, 1288.0, 36.0], shoonya_0sPTIHKZXFPU1Q, 5753896]
[paragraph, [187.0, 585.0, 1288.0, 36.0], shoonya_0sPTIHKZXFPU1Q, 5753896]
[paragraph, [187.0, 621.0, 1288.0, 36.0], shoonya_0sPTIHKZXFPU1Q, 5753896]
[paragraph, [187.0, 657.0, 1288.0, 36.0], shoonya_0sPTIHKZXFPU1Q, 5753896]
[paragraph, [188.0, 706.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 742.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 778.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 814.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 850.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 886.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 922.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 958.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 994.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1030.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1066.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1102.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1138.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1174.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1210.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1246.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1282.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1318.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1354.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1390.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1426.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1462.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1498.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1534.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1570.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1606.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1642.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1678.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1714.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1750.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1786.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1822.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [188.0, 1858.0, 1288.0, 36.0], shoonya_1sO3CUB9Z7428I, 5753896]
[paragraph, [189.0, 1896.0, 1291.0, 36.0], shoonya_2sGKXUEOD5UJ50, 5753896]
[paragraph, [189.0, 1932.0, 1291.0, 36.0], shoonya_2sGKXUEOD5UJ50, 5753896]
[paragraph, [189.0, 1968.0, 1291.0, 36.0], shoonya_2sGKXUEOD5UJ50, 5753896]
[paragraph, [189.0, 2004.0, 1291.0, 36.0], shoonya_2sGKXUEOD5UJ50, 5753896]
[paragraph, [189.0, 2040.0, 1291.0, 36.0], shoonya_2sGKXUEOD5UJ50, 5753896]
