[3968, 2806]
[headline, [1111.0, 244.0, 1459.0, 52.5], shoonya_0s91ZPUI35W8HZ, 5683980]
[headline, [1111.0, 296.5, 1459.0, 52.5], shoonya_0s91ZPUI35W8HZ, 5683980]
[headline, [1111.0, 349.0, 1459.0, 52.5], shoonya_0s91ZPUI35W8HZ, 5683980]
[headline, [1111.0, 401.5, 1459.0, 52.5], shoonya_0s91ZPUI35W8HZ, 5683980]
[author, [341.0, 1259.0, 734.0, 52.5], shoonya_1sHR8XW2KIZZ8N, 5683980]
[author, [341.0, 1311.5, 734.0, 52.5], shoonya_1sHR8XW2KIZZ8N, 5683980]
[author, [341.0, 1364.0, 734.0, 52.5], shoonya_1sHR8XW2KIZZ8N, 5683980]
[paragraph, [174.0, 1638.0, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 1690.5, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 1743.0, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 1795.5, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 1848.0, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 1900.5, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 1953.0, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 2005.5, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 2058.0, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 2110.5, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 2163.0, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 2215.5, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 2268.0, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 2320.5, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 2373.0, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 2425.5, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 2478.0, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
[paragraph, [174.0, 2530.5, 1229.0, 52.5], shoonya_3s58N7KCQDL2OS, 5683980]
