[842, 595]
[author, [227.0, 121.0, 67.0, 18.0], shoonya_4sWCYFLHMAK7XW, 5742840]
[paragraph, [51.0, 154.0, 147.0, 18.0], 28AFCQauH0, 5742840]
[paragraph, [51.0, 172.0, 147.0, 18.0], 28AFCQauH0, 5742840]
[paragraph, [51.0, 190.0, 147.0, 18.0], 28AFCQauH0, 5742840]
[paragraph, [51.0, 208.0, 147.0, 18.0], 28AFCQauH0, 5742840]
[paragraph, [51.0, 226.0, 147.0, 18.0], 28AFCQauH0, 5742840]
[paragraph, [50.0, 260.0, 136.0, 18.0], 7aICbH9eJr, 5742840]
[paragraph, [50.0, 278.0, 136.0, 18.0], 7aICbH9eJr, 5742840]
[paragraph, [50.0, 296.0, 136.0, 18.0], 7aICbH9eJr, 5742840]
[paragraph, [50.0, 314.0, 136.0, 18.0], 7aICbH9eJr, 5742840]
[paragraph, [50.0, 332.0, 136.0, 18.0], 7aICbH9eJr, 5742840]
[paragraph, [50.0, 350.0, 136.0, 18.0], 7aICbH9eJr, 5742840]
[paragraph, [298.0, 327.0, 117.0, 18.0], CuhImmi8cR, 5742840]
[paragraph, [297.0, 364.0, 129.0, 18.0], zFk896Ldqg, 5742840]
[paragraph, [297.0, 382.0, 129.0, 18.0], zFk896Ldqg, 5742840]
[paragraph, [297.0, 400.0, 129.0, 18.0], zFk896Ldqg, 5742840]
[paragraph, [297.0, 418.0, 129.0, 18.0], zFk896Ldqg, 5742840]
[paragraph, [297.0, 436.0, 129.0, 18.0], zFk896Ldqg, 5742840]
[paragraph, [297.0, 454.0, 129.0, 18.0], zFk896Ldqg, 5742840]
[paragraph, [53.0, 380.0, 138.0, 18.0], oVXKYFm_Cg, 5742840]
[paragraph, [53.0, 398.0, 138.0, 18.0], oVXKYFm_Cg, 5742840]
[paragraph, [53.0, 416.0, 138.0, 18.0], oVXKYFm_Cg, 5742840]
[paragraph, [53.0, 434.0, 138.0, 18.0], oVXKYFm_Cg, 5742840]
[paragraph, [53.0, 452.0, 138.0, 18.0], oVXKYFm_Cg, 5742840]
[paragraph, [296.0, 484.0, 144.0, 18.0], zRryjNPYAD, 5742840]
[paragraph, [296.0, 502.0, 144.0, 18.0], zRryjNPYAD, 5742840]
[paragraph, [296.0, 520.0, 144.0, 18.0], zRryjNPYAD, 5742840]
[paragraph, [296.0, 538.0, 144.0, 18.0], zRryjNPYAD, 5742840]
[paragraph, [296.0, 556.0, 144.0, 18.0], zRryjNPYAD, 5742840]
[paragraph, [296.0, 574.0, 144.0, 18.0], zRryjNPYAD, 5742840]
[paragraph, [296.0, 592.0, 144.0, 18.0], zRryjNPYAD, 5742840]
[paragraph, [298.0, 631.0, 151.0, 18.0], yl6iZmivq1, 5742840]
[paragraph, [298.0, 649.0, 151.0, 18.0], yl6iZmivq1, 5742840]
[paragraph, [298.0, 667.0, 151.0, 18.0], yl6iZmivq1, 5742840]
[contact-info, [387.0, 706.0, 154.0, 18.0], shoonya_7s90X3SF8XNHBD, 5742840]
