[1275, 750]
[folio, [235.0, 91.0, 286.0, 18.0], kARe4hp2e8, 5766997]
[folio, [235.0, 109.0, 286.0, 18.0], kARe4hp2e8, 5766997]
[paragraph, [68.0, 165.0, 611.0, 18.0], 4xG5Wy2rIQ, 5766997]
[paragraph, [68.0, 183.0, 611.0, 18.0], 4xG5Wy2rIQ, 5766997]
[paragraph, [68.0, 201.0, 611.0, 18.0], 4xG5Wy2rIQ, 5766997]
[paragraph, [68.0, 219.0, 611.0, 18.0], 4xG5Wy2rIQ, 5766997]
[paragraph, [68.0, 237.0, 611.0, 18.0], 4xG5Wy2rIQ, 5766997]
[paragraph, [68.0, 255.0, 611.0, 18.0], 4xG5Wy2rIQ, 5766997]
[paragraph, [68.0, 273.0, 611.0, 18.0], 4xG5Wy2rIQ, 5766997]
[paragraph, [68.0, 291.0, 611.0, 18.0], 4xG5Wy2rIQ, 5766997]
[paragraph, [68.0, 309.0, 611.0, 18.0], 4xG5Wy2rIQ, 5766997]
[paragraph, [68.0, 327.0, 611.0, 18.0], 4xG5Wy2rIQ, 5766997]
[paragraph, [63.0, 361.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 379.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 397.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 415.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 433.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 451.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 469.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 487.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 505.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 523.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 541.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 559.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 577.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 595.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 613.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 631.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 649.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 667.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 685.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 703.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 721.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 739.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 757.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 775.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 793.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 811.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 829.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 847.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 865.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 883.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 901.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 919.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
[paragraph, [63.0, 937.0, 627.0, 18.0], shoonya_0sL2VCMZC6T5D9, 5766997]
