[1300, 827]
[ordered-list, [71.0, 143.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 161.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 179.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 197.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 215.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 233.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 251.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 269.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 287.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 305.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 323.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 341.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 359.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 377.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 395.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 413.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 431.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 449.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 467.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 485.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 503.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 521.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 539.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 557.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 575.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 593.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 611.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 629.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 647.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 665.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 683.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 701.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 719.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 737.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 755.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 773.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 791.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 809.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 827.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 845.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 863.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 881.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 899.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 917.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 935.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 953.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 971.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 989.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 1007.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 1025.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 1043.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 1061.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 1079.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 1097.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 1115.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 1133.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 1151.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 1169.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[ordered-list, [71.0, 1187.0, 682.0, 18.0], mtJyctT_iU, 5748354]
[paragraph, [96.0, 286.0, 642.0, 18.0], PMpXMeey-U, 5748354]
[paragraph, [96.0, 304.0, 642.0, 18.0], PMpXMeey-U, 5748354]
[paragraph, [96.0, 322.0, 642.0, 18.0], PMpXMeey-U, 5748354]
[paragraph, [96.0, 340.0, 642.0, 18.0], PMpXMeey-U, 5748354]
[paragraph, [96.0, 358.0, 642.0, 18.0], PMpXMeey-U, 5748354]
[paragraph, [96.0, 376.0, 642.0, 18.0], PMpXMeey-U, 5748354]
[paragraph, [96.0, 394.0, 642.0, 18.0], PMpXMeey-U, 5748354]
[paragraph, [93.0, 650.0, 636.0, 18.0], 23d5rIUMuY, 5748354]
[paragraph, [93.0, 668.0, 636.0, 18.0], 23d5rIUMuY, 5748354]
[paragraph, [93.0, 686.0, 636.0, 18.0], 23d5rIUMuY, 5748354]
[paragraph, [93.0, 704.0, 636.0, 18.0], 23d5rIUMuY, 5748354]
[paragraph, [93.0, 722.0, 636.0, 18.0], 23d5rIUMuY, 5748354]
[footnote, [514.0, 1256.0, 256.0, 18.0], JfF4ibtvn6, 5748354]
