[864, 612]
[paragraph, [60.0, 66.0, 486.0, 18.0], pyeiFwsr2m, 5717388]
[ordered-list, [56.0, 107.0, 502.0, 18.0], -kBfcYe-q2, 5717388]
[ordered-list, [56.0, 125.0, 502.0, 18.0], -kBfcYe-q2, 5717388]
[ordered-list, [56.0, 143.0, 502.0, 18.0], -kBfcYe-q2, 5717388]
[ordered-list, [56.0, 161.0, 502.0, 18.0], -kBfcYe-q2, 5717388]
[ordered-list, [56.0, 179.0, 502.0, 18.0], -kBfcYe-q2, 5717388]
[ordered-list, [56.0, 197.0, 502.0, 18.0], -kBfcYe-q2, 5717388]
[ordered-list, [56.0, 215.0, 502.0, 18.0], -kBfcYe-q2, 5717388]
[ordered-list, [56.0, 233.0, 502.0, 18.0], -kBfcYe-q2, 5717388]
[ordered-list, [56.0, 251.0, 502.0, 18.0], -kBfcYe-q2, 5717388]
[ordered-list, [40.0, 285.0, 533.0, 18.0], cvJdi5bn4e, 5717388]
[ordered-list, [40.0, 303.0, 533.0, 18.0], cvJdi5bn4e, 5717388]
[ordered-list, [40.0, 321.0, 533.0, 18.0], cvJdi5bn4e, 5717388]
[ordered-list, [40.0, 339.0, 533.0, 18.0], cvJdi5bn4e, 5717388]
[ordered-list, [40.0, 357.0, 533.0, 18.0], cvJdi5bn4e, 5717388]
[ordered-list, [32.0, 390.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 408.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 426.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 444.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 462.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 480.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 498.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 516.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 534.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 552.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 570.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 588.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 606.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 624.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 642.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 660.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 678.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 696.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 714.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 732.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 750.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[ordered-list, [32.0, 768.0, 550.0, 18.0], x8DBMeAksi, 5717388]
[sub-ordered-list, [57.0, 460.0, 510.0, 18.0], 3Gc6R4K5Ms, 5717388]
[sub-ordered-list, [57.0, 478.0, 510.0, 18.0], 3Gc6R4K5Ms, 5717388]
[sub-ordered-list, [57.0, 496.0, 510.0, 18.0], 3Gc6R4K5Ms, 5717388]
[sub-ordered-list, [57.0, 514.0, 510.0, 18.0], 3Gc6R4K5Ms, 5717388]
[sub-ordered-list, [57.0, 532.0, 510.0, 18.0], 3Gc6R4K5Ms, 5717388]
[sub-ordered-list, [57.0, 550.0, 510.0, 18.0], 3Gc6R4K5Ms, 5717388]
[sub-ordered-list, [57.0, 568.0, 510.0, 18.0], 3Gc6R4K5Ms, 5717388]
[sub-ordered-list, [57.0, 586.0, 510.0, 18.0], 3Gc6R4K5Ms, 5717388]
[sub-ordered-list, [57.0, 604.0, 510.0, 18.0], 3Gc6R4K5Ms, 5717388]
[sub-ordered-list, [57.0, 622.0, 510.0, 18.0], 3Gc6R4K5Ms, 5717388]
[sub-ordered-list, [57.0, 640.0, 510.0, 18.0], 3Gc6R4K5Ms, 5717388]
[sub-ordered-list, [57.0, 658.0, 510.0, 18.0], 3Gc6R4K5Ms, 5717388]
[sub-ordered-list, [57.0, 676.0, 510.0, 18.0], 3Gc6R4K5Ms, 5717388]
