[612, 396]
[section-title, [67.0, 68.0, 264.0, 30.0], shoonya_0sRP4YV7J6YIXW, 6517555]
[author, [135.0, 114.0, 129.0, 18.0], shoonya_3sY8Q0ZPVR9890, 6517555]
[paragraph, [39.0, 160.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 178.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 196.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 214.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 232.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 250.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 268.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 286.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 304.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 322.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 340.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 358.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 376.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 394.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 412.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 430.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 448.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 466.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 484.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 502.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 520.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
[paragraph, [39.0, 538.0, 317.0, 18.0], shoonya_2sGGVPLJOVD5AF, 6517555]
