[792, 612]
[folio, [209.0, 25.0, 228.0, 18.0], _a68CbsvbX, 5743929]
[paragraph, [110.0, 51.0, 429.0, 18.0], shoonya_0s0CQD4Q7VI418, 5743929]
[paragraph, [110.0, 69.0, 429.0, 18.0], shoonya_0s0CQD4Q7VI418, 5743929]
[paragraph, [110.0, 87.0, 429.0, 18.0], shoonya_0s0CQD4Q7VI418, 5743929]
[paragraph, [110.0, 105.0, 429.0, 18.0], shoonya_0s0CQD4Q7VI418, 5743929]
[paragraph, [110.0, 123.0, 429.0, 18.0], shoonya_0s0CQD4Q7VI418, 5743929]
[paragraph, [110.0, 141.0, 429.0, 18.0], shoonya_0s0CQD4Q7VI418, 5743929]
[paragraph, [109.0, 181.0, 428.0, 18.0], GnmL8Flk1h, 5743929]
[paragraph, [109.0, 199.0, 428.0, 18.0], GnmL8Flk1h, 5743929]
[paragraph, [109.0, 217.0, 428.0, 18.0], GnmL8Flk1h, 5743929]
[paragraph, [109.0, 235.0, 428.0, 18.0], GnmL8Flk1h, 5743929]
[paragraph, [109.0, 253.0, 428.0, 18.0], GnmL8Flk1h, 5743929]
[paragraph, [109.0, 271.0, 428.0, 18.0], GnmL8Flk1h, 5743929]
[paragraph, [109.0, 289.0, 428.0, 18.0], GnmL8Flk1h, 5743929]
[paragraph, [109.0, 307.0, 428.0, 18.0], GnmL8Flk1h, 5743929]
[paragraph, [109.0, 325.0, 428.0, 18.0], GnmL8Flk1h, 5743929]
[paragraph, [108.0, 366.0, 427.0, 18.0], zIXXP7gsyJ, 5743929]
[paragraph, [108.0, 384.0, 427.0, 18.0], zIXXP7gsyJ, 5743929]
[paragraph, [108.0, 402.0, 427.0, 18.0], zIXXP7gsyJ, 5743929]
[paragraph, [108.0, 420.0, 427.0, 18.0], zIXXP7gsyJ, 5743929]
[paragraph, [108.0, 438.0, 427.0, 18.0], zIXXP7gsyJ, 5743929]
[paragraph, [108.0, 456.0, 427.0, 18.0], zIXXP7gsyJ, 5743929]
[paragraph, [110.0, 489.0, 429.0, 18.0], 9wIcIWBXNC, 5743929]
[paragraph, [110.0, 507.0, 429.0, 18.0], 9wIcIWBXNC, 5743929]
[paragraph, [110.0, 525.0, 429.0, 18.0], 9wIcIWBXNC, 5743929]
[paragraph, [110.0, 543.0, 429.0, 18.0], 9wIcIWBXNC, 5743929]
[paragraph, [110.0, 561.0, 429.0, 18.0], 9wIcIWBXNC, 5743929]
[paragraph, [110.0, 579.0, 429.0, 18.0], 9wIcIWBXNC, 5743929]
[paragraph, [110.0, 597.0, 429.0, 18.0], 9wIcIWBXNC, 5743929]
[paragraph, [110.0, 615.0, 429.0, 18.0], 9wIcIWBXNC, 5743929]
[paragraph, [110.0, 633.0, 429.0, 18.0], 9wIcIWBXNC, 5743929]
[paragraph, [110.0, 651.0, 429.0, 18.0], 9wIcIWBXNC, 5743929]
[paragraph, [110.0, 669.0, 429.0, 18.0], 9wIcIWBXNC, 5743929]
[paragraph, [110.0, 687.0, 429.0, 18.0], 9wIcIWBXNC, 5743929]
[paragraph, [110.0, 705.0, 429.0, 18.0], 9wIcIWBXNC, 5743929]
