[1518, 1075]
[paragraph, [557.0, 145.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [557.0, 181.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [557.0, 217.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [557.0, 253.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [557.0, 289.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [557.0, 325.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [557.0, 361.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [557.0, 397.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [557.0, 433.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [557.0, 469.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [557.0, 505.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [557.0, 541.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [557.0, 577.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [557.0, 613.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [557.0, 649.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [557.0, 685.0, 429.0, 36.0], shoonya_1sEFJNR781IMFQ, 5722377]
[paragraph, [109.0, 146.0, 437.0, 36.0], shoonya_0sII81S60FXK76, 5722377]
[paragraph, [109.0, 182.0, 437.0, 36.0], shoonya_0sII81S60FXK76, 5722377]
[paragraph, [109.0, 218.0, 437.0, 36.0], shoonya_0sII81S60FXK76, 5722377]
[paragraph, [109.0, 254.0, 437.0, 36.0], shoonya_0sII81S60FXK76, 5722377]
[paragraph, [109.0, 290.0, 437.0, 36.0], shoonya_0sII81S60FXK76, 5722377]
[paragraph, [109.0, 326.0, 437.0, 36.0], shoonya_0sII81S60FXK76, 5722377]
[paragraph, [109.0, 362.0, 437.0, 36.0], shoonya_0sII81S60FXK76, 5722377]
[paragraph, [109.0, 398.0, 437.0, 36.0], shoonya_0sII81S60FXK76, 5722377]
[paragraph, [109.0, 434.0, 437.0, 36.0], shoonya_0sII81S60FXK76, 5722377]
[paragraph, [109.0, 470.0, 437.0, 36.0], shoonya_0sII81S60FXK76, 5722377]
[paragraph, [109.0, 506.0, 437.0, 36.0], shoonya_0sII81S60FXK76, 5722377]
[paragraph, [109.0, 542.0, 437.0, 36.0], shoonya_0sII81S60FXK76, 5722377]
[paragraph, [109.0, 578.0, 437.0, 36.0], shoonya_0sII81S60FXK76, 5722377]
[paragraph, [107.0, 646.0, 440.0, 36.0], peEN_wZKuN, 5722377]
[paragraph, [107.0, 682.0, 440.0, 36.0], peEN_wZKuN, 5722377]
[paragraph, [107.0, 718.0, 440.0, 36.0], peEN_wZKuN, 5722377]
[paragraph, [557.0, 733.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 769.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 805.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 841.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 877.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 913.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 949.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 985.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 1021.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 1057.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 1093.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 1129.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 1165.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 1201.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 1237.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 1273.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [557.0, 1309.0, 431.0, 36.0], shoonya_2sE2VG39AGQMWJ, 5722377]
[paragraph, [115.0, 758.0, 417.0, 36.0], shoonya_7sKNFN5WOG3D4R, 5722377]
[paragraph, [115.0, 794.0, 417.0, 36.0], shoonya_7sKNFN5WOG3D4R, 5722377]
[paragraph, [115.0, 830.0, 417.0, 36.0], shoonya_7sKNFN5WOG3D4R, 5722377]
[paragraph, [114.0, 870.0, 426.0, 36.0], shoonya_3s1EK2BGIMPZ4T, 5722377]
[paragraph, [114.0, 906.0, 426.0, 36.0], shoonya_3s1EK2BGIMPZ4T, 5722377]
[paragraph, [114.0, 942.0, 426.0, 36.0], shoonya_3s1EK2BGIMPZ4T, 5722377]
[paragraph, [114.0, 978.0, 426.0, 36.0], shoonya_3s1EK2BGIMPZ4T, 5722377]
[paragraph, [114.0, 1014.0, 426.0, 36.0], shoonya_3s1EK2BGIMPZ4T, 5722377]
[paragraph, [114.0, 1050.0, 426.0, 36.0], shoonya_3s1EK2BGIMPZ4T, 5722377]
[paragraph, [114.0, 1086.0, 426.0, 36.0], shoonya_3s1EK2BGIMPZ4T, 5722377]
[paragraph, [114.0, 1122.0, 426.0, 36.0], shoonya_3s1EK2BGIMPZ4T, 5722377]
[paragraph, [114.0, 1158.0, 426.0, 36.0], shoonya_3s1EK2BGIMPZ4T, 5722377]
[paragraph, [114.0, 1194.0, 426.0, 36.0], shoonya_3s1EK2BGIMPZ4T, 5722377]
[paragraph, [114.0, 1230.0, 426.0, 36.0], shoonya_3s1EK2BGIMPZ4T, 5722377]
[paragraph, [114.0, 1266.0, 426.0, 36.0], shoonya_3s1EK2BGIMPZ4T, 5722377]
[paragraph, [114.0, 1302.0, 426.0, 36.0], shoonya_3s1EK2BGIMPZ4T, 5722377]
[folio, [253.0, 1351.0, 593.0, 36.0], cb6hFeR5Lg, 5722377]
[folio, [192.0, 1382.0, 309.0, 36.0], 1IUzzD_hNw, 5722377]
