[1754, 1241]
[paragraph, [238.0, 91.0, 192.0, 36.0], KeSNGgnh23, 5706506]
[ordered-list, [153.0, 171.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 207.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 243.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 279.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 315.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 351.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 387.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 423.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 459.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 495.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 531.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 567.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 603.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 639.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 675.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 711.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 747.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 783.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 819.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 855.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 891.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 927.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 963.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 999.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 1035.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 1071.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 1107.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 1143.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 1179.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 1215.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 1251.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 1287.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 1323.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 1359.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 1395.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[ordered-list, [153.0, 1431.0, 797.0, 36.0], q2oEC-ow7k, 5706506]
[sidebar, [935.0, 330.0, 159.0, 36.0], keVyHrc0CN, 5706506]
[sidebar, [935.0, 366.0, 159.0, 36.0], keVyHrc0CN, 5706506]
[sidebar, [935.0, 402.0, 159.0, 36.0], keVyHrc0CN, 5706506]
[sub-ordered-list, [263.0, 581.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 617.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 653.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 689.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 725.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 761.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 797.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 833.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 869.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 905.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 941.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 977.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 1013.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 1049.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 1085.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 1121.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 1157.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 1193.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 1229.0, 658.0, 36.0], PvpgwdHefz, 5706506]
[sub-ordered-list, [263.0, 1265.0, 658.0, 36.0], PvpgwdHefz, 5706506]
