[1291, 835]
[folio, [682.0, 120.0, 101.0, 18.0], F1bs_Shy1R, 5774248]
[folio, [682.0, 138.0, 101.0, 18.0], F1bs_Shy1R, 5774248]
[paragraph, [180.0, 311.0, 593.0, 18.0], shoonya_1sZQSWF1P827PT, 5774248]
[paragraph, [180.0, 329.0, 593.0, 18.0], shoonya_1sZQSWF1P827PT, 5774248]
[paragraph, [180.0, 347.0, 593.0, 18.0], shoonya_1sZQSWF1P827PT, 5774248]
[paragraph, [180.0, 365.0, 593.0, 18.0], shoonya_1sZQSWF1P827PT, 5774248]
[paragraph, [177.0, 392.0, 598.0, 18.0], shoonya_0sLCO76XW3EZCM, 5774248]
[paragraph, [177.0, 410.0, 598.0, 18.0], shoonya_0sLCO76XW3EZCM, 5774248]
[paragraph, [177.0, 428.0, 598.0, 18.0], shoonya_0sLCO76XW3EZCM, 5774248]
[paragraph, [177.0, 446.0, 598.0, 18.0], shoonya_0sLCO76XW3EZCM, 5774248]
[paragraph, [177.0, 464.0, 598.0, 18.0], shoonya_0sLCO76XW3EZCM, 5774248]
[paragraph, [177.0, 482.0, 598.0, 18.0], shoonya_0sLCO76XW3EZCM, 5774248]
[paragraph, [177.0, 500.0, 598.0, 18.0], shoonya_0sLCO76XW3EZCM, 5774248]
[paragraph, [177.0, 518.0, 598.0, 18.0], shoonya_0sLCO76XW3EZCM, 5774248]
[paragraph, [177.0, 536.0, 598.0, 18.0], shoonya_0sLCO76XW3EZCM, 5774248]
[paragraph, [177.0, 554.0, 598.0, 18.0], shoonya_0sLCO76XW3EZCM, 5774248]
[paragraph, [177.0, 572.0, 598.0, 18.0], shoonya_0sLCO76XW3EZCM, 5774248]
[paragraph, [177.0, 590.0, 598.0, 18.0], shoonya_0sLCO76XW3EZCM, 5774248]
[paragraph, [177.0, 608.0, 598.0, 18.0], shoonya_0sLCO76XW3EZCM, 5774248]
[paragraph, [177.0, 626.0, 598.0, 18.0], shoonya_0sLCO76XW3EZCM, 5774248]
[paragraph, [177.0, 644.0, 598.0, 18.0], shoonya_0sLCO76XW3EZCM, 5774248]
[paragraph, [105.0, 676.0, 667.0, 18.0], shoonya_2sLZJ7QAYURFV9, 5774248]
[paragraph, [105.0, 694.0, 667.0, 18.0], shoonya_2sLZJ7QAYURFV9, 5774248]
[paragraph, [105.0, 712.0, 667.0, 18.0], shoonya_2sLZJ7QAYURFV9, 5774248]
[paragraph, [105.0, 730.0, 667.0, 18.0], shoonya_2sLZJ7QAYURFV9, 5774248]
[paragraph, [105.0, 748.0, 667.0, 18.0], shoonya_2sLZJ7QAYURFV9, 5774248]
[ordered-list, [103.0, 786.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 804.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 822.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 840.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 858.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 876.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 894.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 912.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 930.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 948.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 966.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 984.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 1002.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 1020.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 1038.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 1056.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 1074.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 1092.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 1110.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 1128.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 1146.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 1164.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
[ordered-list, [103.0, 1182.0, 678.0, 18.0], shoonya_3sPLO6128XR5OC, 5774248]
