[1987, 1270]
[folio, [600.0, 121.0, 90.0, 36.0], shoonya_1s5IXJJHOGIVL3, 5683050]
[paragraph, [133.0, 191.0, 1012.0, 36.0], shoonya_3sXIY2L0AV6VG7, 5683050]
[paragraph, [133.0, 227.0, 1012.0, 36.0], shoonya_3sXIY2L0AV6VG7, 5683050]
[paragraph, [133.0, 263.0, 1012.0, 36.0], shoonya_3sXIY2L0AV6VG7, 5683050]
[paragraph, [133.0, 299.0, 1012.0, 36.0], shoonya_3sXIY2L0AV6VG7, 5683050]
[paragraph, [135.0, 350.0, 1015.0, 36.0], shoonya_4sICRB0OBGQDOO, 5683050]
[paragraph, [135.0, 386.0, 1015.0, 36.0], shoonya_4sICRB0OBGQDOO, 5683050]
[paragraph, [135.0, 422.0, 1015.0, 36.0], shoonya_4sICRB0OBGQDOO, 5683050]
[paragraph, [135.0, 458.0, 1015.0, 36.0], shoonya_4sICRB0OBGQDOO, 5683050]
[paragraph, [135.0, 494.0, 1015.0, 36.0], shoonya_4sICRB0OBGQDOO, 5683050]
[paragraph, [135.0, 530.0, 1015.0, 36.0], shoonya_4sICRB0OBGQDOO, 5683050]
[paragraph, [135.0, 566.0, 1015.0, 36.0], shoonya_4sICRB0OBGQDOO, 5683050]
[paragraph, [135.0, 602.0, 1015.0, 36.0], shoonya_4sICRB0OBGQDOO, 5683050]
[paragraph, [136.0, 666.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 702.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 738.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 774.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 810.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 846.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 882.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 918.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 954.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 990.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 1026.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 1062.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 1098.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 1134.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 1170.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 1206.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 1242.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 1278.0, 1014.0, 36.0], W-BST-6GrW, 5683050]
[paragraph, [136.0, 1347.0, 1009.0, 36.0], O1iMvUPqI0, 5683050]
[paragraph, [136.0, 1383.0, 1009.0, 36.0], O1iMvUPqI0, 5683050]
[paragraph, [136.0, 1419.0, 1009.0, 36.0], O1iMvUPqI0, 5683050]
[paragraph, [136.0, 1455.0, 1009.0, 36.0], O1iMvUPqI0, 5683050]
[paragraph, [133.0, 1506.0, 1019.0, 36.0], XXbgU8EuQY, 5683050]
[paragraph, [133.0, 1542.0, 1019.0, 36.0], XXbgU8EuQY, 5683050]
[paragraph, [133.0, 1578.0, 1019.0, 36.0], XXbgU8EuQY, 5683050]
[paragraph, [133.0, 1614.0, 1019.0, 36.0], XXbgU8EuQY, 5683050]
[paragraph, [133.0, 1650.0, 1019.0, 36.0], XXbgU8EuQY, 5683050]
[paragraph, [133.0, 1686.0, 1019.0, 36.0], XXbgU8EuQY, 5683050]
[paragraph, [133.0, 1722.0, 1019.0, 36.0], XXbgU8EuQY, 5683050]
[paragraph, [130.0, 1767.0, 1016.0, 36.0], -3E9IvAncc, 5683050]
[paragraph, [130.0, 1803.0, 1016.0, 36.0], -3E9IvAncc, 5683050]
