[2176, 1430]
[paragraph, [160.0, 244.0, 1168.0, 36.0], shoonya_0sTMZJCL6NH75V, 5655270]
[paragraph, [160.0, 280.0, 1168.0, 36.0], shoonya_0sTMZJCL6NH75V, 5655270]
[paragraph, [160.0, 316.0, 1168.0, 36.0], shoonya_0sTMZJCL6NH75V, 5655270]
[paragraph, [160.0, 352.0, 1168.0, 36.0], shoonya_0sTMZJCL6NH75V, 5655270]
[paragraph, [160.0, 388.0, 1168.0, 36.0], shoonya_0sTMZJCL6NH75V, 5655270]
[paragraph, [160.0, 424.0, 1168.0, 36.0], shoonya_0sTMZJCL6NH75V, 5655270]
[paragraph, [160.0, 460.0, 1168.0, 36.0], shoonya_0sTMZJCL6NH75V, 5655270]
[paragraph, [160.0, 496.0, 1168.0, 36.0], shoonya_0sTMZJCL6NH75V, 5655270]
[paragraph, [160.0, 532.0, 1168.0, 36.0], shoonya_0sTMZJCL6NH75V, 5655270]
[paragraph, [160.0, 568.0, 1168.0, 36.0], shoonya_0sTMZJCL6NH75V, 5655270]
[paragraph, [160.0, 604.0, 1168.0, 36.0], shoonya_0sTMZJCL6NH75V, 5655270]
[paragraph, [160.0, 640.0, 1168.0, 36.0], shoonya_0sTMZJCL6NH75V, 5655270]
[paragraph, [160.0, 676.0, 1168.0, 36.0], shoonya_0sTMZJCL6NH75V, 5655270]
[paragraph, [160.0, 712.0, 1168.0, 36.0], shoonya_0sTMZJCL6NH75V, 5655270]
[paragraph, [251.0, 890.0, 670.0, 36.0], shoonya_6s19H9WJ5ZB40Z, 5655270]
[paragraph, [251.0, 926.0, 670.0, 36.0], shoonya_6s19H9WJ5ZB40Z, 5655270]
[paragraph, [251.0, 962.0, 670.0, 36.0], shoonya_6s19H9WJ5ZB40Z, 5655270]
[paragraph, [251.0, 998.0, 670.0, 36.0], shoonya_6s19H9WJ5ZB40Z, 5655270]
[paragraph, [244.0, 1079.0, 1017.0, 36.0], Yzd0jvi_z3, 5655270]
[paragraph, [166.0, 1169.0, 1166.0, 36.0], shoonya_2sVSGALMK9EUTA, 5655270]
[paragraph, [166.0, 1205.0, 1166.0, 36.0], shoonya_2sVSGALMK9EUTA, 5655270]
[paragraph, [166.0, 1241.0, 1166.0, 36.0], shoonya_2sVSGALMK9EUTA, 5655270]
[paragraph, [166.0, 1277.0, 1166.0, 36.0], shoonya_2sVSGALMK9EUTA, 5655270]
[paragraph, [166.0, 1313.0, 1166.0, 36.0], shoonya_2sVSGALMK9EUTA, 5655270]
[paragraph, [166.0, 1349.0, 1166.0, 36.0], shoonya_2sVSGALMK9EUTA, 5655270]
[paragraph, [166.0, 1385.0, 1166.0, 36.0], shoonya_2sVSGALMK9EUTA, 5655270]
[paragraph, [166.0, 1421.0, 1166.0, 36.0], shoonya_2sVSGALMK9EUTA, 5655270]
[paragraph, [166.0, 1457.0, 1166.0, 36.0], shoonya_2sVSGALMK9EUTA, 5655270]
[paragraph, [158.0, 1561.0, 1172.0, 36.0], shoonya_3s585OBFR7V1IS, 5655270]
[paragraph, [158.0, 1597.0, 1172.0, 36.0], shoonya_3s585OBFR7V1IS, 5655270]
[paragraph, [158.0, 1633.0, 1172.0, 36.0], shoonya_3s585OBFR7V1IS, 5655270]
[paragraph, [158.0, 1669.0, 1172.0, 36.0], shoonya_3s585OBFR7V1IS, 5655270]
[paragraph, [158.0, 1705.0, 1172.0, 36.0], shoonya_3s585OBFR7V1IS, 5655270]
[paragraph, [157.0, 1801.0, 1174.0, 36.0], IvDMtiFXNs, 5655270]
[paragraph, [157.0, 1837.0, 1174.0, 36.0], IvDMtiFXNs, 5655270]
[paragraph, [157.0, 1873.0, 1174.0, 36.0], IvDMtiFXNs, 5655270]
[reference, [170.0, 1966.0, 323.0, 36.0], shoonya_5sMUQYB1BL3ZXP, 5655270]
