[1261, 696]
[folio, [548.0, 22.0, 112.0, 18.0], shoonya_3sNXZY65EH798J, 5782081]
[folio, [548.0, 40.0, 112.0, 18.0], shoonya_3sNXZY65EH798J, 5782081]
[folio, [102.0, 78.0, 468.0, 18.0], shoonya_6sS0WOV0EU0FW5, 5782081]
[sidebar, [9.0, 111.0, 88.0, 18.0], -D3oqBCK86, 5782081]
[sidebar, [9.0, 129.0, 88.0, 18.0], -D3oqBCK86, 5782081]
[sidebar, [9.0, 147.0, 88.0, 18.0], -D3oqBCK86, 5782081]
[paragraph, [101.0, 113.0, 556.0, 18.0], C4L6d86mUO, 5782081]
[paragraph, [101.0, 131.0, 556.0, 18.0], C4L6d86mUO, 5782081]
[paragraph, [101.0, 149.0, 556.0, 18.0], C4L6d86mUO, 5782081]
[paragraph, [101.0, 167.0, 556.0, 18.0], C4L6d86mUO, 5782081]
[paragraph, [101.0, 185.0, 556.0, 18.0], C4L6d86mUO, 5782081]
[paragraph, [101.0, 203.0, 556.0, 18.0], C4L6d86mUO, 5782081]
[ordered-list, [31.0, 234.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 252.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 270.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 288.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 306.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 324.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 342.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 360.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 378.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 396.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 414.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 432.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 450.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 468.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 486.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 504.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 522.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 540.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 558.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 576.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 594.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 612.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 630.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 648.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 666.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 684.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 702.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 720.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 738.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 756.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 774.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 792.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 810.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 828.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 846.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 864.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 882.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 900.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 918.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 936.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 954.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 972.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 990.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 1008.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 1026.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 1044.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 1062.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 1080.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 1098.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 1116.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 1134.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 1152.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
[ordered-list, [31.0, 1170.0, 631.0, 18.0], 2rsVoHufjo, 5782081]
