[2339, 1609]
[folio, [759.0, 137.0, 585.0, 36.0], ERm-z0JFkY, 5656440]
[folio, [198.0, 144.0, 423.0, 36.0], M1Y-_1GIG-, 5656440]
[index, [97.0, 258.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 294.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 330.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 366.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 402.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 438.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 474.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 510.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 546.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 582.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 618.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 654.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 690.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 726.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 762.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 798.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 834.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 870.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 906.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 942.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 978.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1014.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1050.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1086.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1122.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1158.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1194.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1230.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1266.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1302.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1338.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1374.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1410.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1446.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1482.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1518.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1554.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1590.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1626.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1662.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1698.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1734.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1770.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1806.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1842.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1878.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1914.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1950.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[index, [97.0, 1986.0, 1274.0, 36.0], nXNHBxv19L, 5656440]
[footnote, [127.0, 2129.0, 535.0, 36.0], ia4xSRIbKn, 5656440]
[footnote, [127.0, 2165.0, 535.0, 36.0], ia4xSRIbKn, 5656440]
[footnote, [886.0, 2133.0, 545.0, 36.0], rnKy5oJMvZ, 5656440]
