[1063, 680]
[paragraph, [76.0, 122.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 140.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 158.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 176.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 194.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 212.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 230.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 248.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 266.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 284.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 302.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 320.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 338.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 356.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 374.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 392.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 410.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 428.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 446.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 464.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 482.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 500.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 518.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 536.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 554.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 572.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 590.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 608.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 626.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 644.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 662.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 680.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 698.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 716.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 734.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 752.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 770.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 788.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 806.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 824.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 842.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 860.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 878.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 896.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 914.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 932.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[paragraph, [76.0, 950.0, 546.0, 18.0], LskJSqFoAE, 5740195]
[footnote, [462.0, 1016.0, 178.0, 18.0], 0rqc5ZxXNA, 5740195]
