[2143, 1435]
[folio, [477.0, 121.0, 482.0, 36.0], shoonya_0sT53JS19B0QEQ, 5683910]
[paragraph, [123.0, 207.0, 1190.0, 36.0], shoonya_1s9X2G1DO82MXA, 5683910]
[paragraph, [123.0, 243.0, 1190.0, 36.0], shoonya_1s9X2G1DO82MXA, 5683910]
[paragraph, [123.0, 279.0, 1190.0, 36.0], shoonya_1s9X2G1DO82MXA, 5683910]
[paragraph, [116.0, 319.0, 1198.0, 36.0], mZeN7Gps0I, 5683910]
[paragraph, [116.0, 355.0, 1198.0, 36.0], mZeN7Gps0I, 5683910]
[paragraph, [116.0, 391.0, 1198.0, 36.0], mZeN7Gps0I, 5683910]
[paragraph, [116.0, 427.0, 1198.0, 36.0], mZeN7Gps0I, 5683910]
[paragraph, [116.0, 463.0, 1198.0, 36.0], mZeN7Gps0I, 5683910]
[paragraph, [116.0, 499.0, 1198.0, 36.0], mZeN7Gps0I, 5683910]
[paragraph, [114.0, 580.0, 1207.0, 36.0], 1W926_TyA9, 5683910]
[paragraph, [114.0, 616.0, 1207.0, 36.0], 1W926_TyA9, 5683910]
[paragraph, [232.0, 678.0, 795.0, 36.0], 8V6IH4qAD2, 5683910]
[paragraph, [236.0, 727.0, 592.0, 36.0], XlbitWPSzX, 5683910]
[paragraph, [109.0, 778.0, 1203.0, 36.0], aPdoosuS4-, 5683910]
[paragraph, [109.0, 814.0, 1203.0, 36.0], aPdoosuS4-, 5683910]
[paragraph, [109.0, 850.0, 1203.0, 36.0], aPdoosuS4-, 5683910]
[paragraph, [109.0, 886.0, 1203.0, 36.0], aPdoosuS4-, 5683910]
[paragraph, [109.0, 922.0, 1203.0, 36.0], aPdoosuS4-, 5683910]
[paragraph, [107.0, 980.0, 1207.0, 36.0], Sqg6J97DlF, 5683910]
[paragraph, [107.0, 1016.0, 1207.0, 36.0], Sqg6J97DlF, 5683910]
[paragraph, [118.0, 1085.0, 1202.0, 36.0], Nt0c9ockrM, 5683910]
[paragraph, [118.0, 1121.0, 1202.0, 36.0], Nt0c9ockrM, 5683910]
[paragraph, [118.0, 1157.0, 1202.0, 36.0], Nt0c9ockrM, 5683910]
[paragraph, [118.0, 1193.0, 1202.0, 36.0], Nt0c9ockrM, 5683910]
[paragraph, [118.0, 1229.0, 1202.0, 36.0], Nt0c9ockrM, 5683910]
[paragraph, [118.0, 1265.0, 1202.0, 36.0], Nt0c9ockrM, 5683910]
[paragraph, [112.0, 1331.0, 1209.0, 36.0], XDW52r-Kur, 5683910]
[paragraph, [112.0, 1367.0, 1209.0, 36.0], XDW52r-Kur, 5683910]
[paragraph, [112.0, 1403.0, 1209.0, 36.0], XDW52r-Kur, 5683910]
[paragraph, [112.0, 1439.0, 1209.0, 36.0], XDW52r-Kur, 5683910]
[paragraph, [112.0, 1475.0, 1209.0, 36.0], XDW52r-Kur, 5683910]
[paragraph, [112.0, 1535.0, 1212.0, 36.0], grbAdTpNYp, 5683910]
[paragraph, [112.0, 1571.0, 1212.0, 36.0], grbAdTpNYp, 5683910]
[paragraph, [114.0, 1636.0, 1207.0, 36.0], kftYVqKHcM, 5683910]
[paragraph, [114.0, 1672.0, 1207.0, 36.0], kftYVqKHcM, 5683910]
[paragraph, [114.0, 1708.0, 1207.0, 36.0], kftYVqKHcM, 5683910]
[paragraph, [114.0, 1744.0, 1207.0, 36.0], kftYVqKHcM, 5683910]
[paragraph, [114.0, 1780.0, 1207.0, 36.0], kftYVqKHcM, 5683910]
[paragraph, [114.0, 1816.0, 1207.0, 36.0], kftYVqKHcM, 5683910]
[paragraph, [234.0, 1892.0, 1089.0, 36.0], nR5hEUXsDI, 5683910]
[folio, [895.0, 2048.0, 451.0, 36.0], Dl-nmrC4mB, 5683910]
[folio, [895.0, 2084.0, 451.0, 36.0], Dl-nmrC4mB, 5683910]
