[792, 667]
[folio, [249.0, 142.0, 76.0, 18.0], shoonya_2sE1TU3RKGSHDF, 6459929]
[folio, [249.0, 160.0, 76.0, 18.0], shoonya_2sE1TU3RKGSHDF, 6459929]
[paragraph, [121.0, 189.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 207.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 225.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 243.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 261.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 279.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 297.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 315.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 333.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 351.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 369.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 387.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 405.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 423.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 441.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 459.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 477.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 495.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 513.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 531.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 549.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 567.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 585.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 603.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 621.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 639.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 657.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 675.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
[paragraph, [121.0, 693.0, 337.0, 18.0], shoonya_0s6ED20WI20QHM, 6459929]
