[842, 595]
[ordered-list, [0.0, 63.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 81.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 99.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 117.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 135.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 153.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 171.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 189.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 207.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 225.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 243.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 261.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 279.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 297.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 315.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 333.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 351.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 369.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 387.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 405.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 423.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 441.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 459.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 477.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 495.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 513.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 531.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 549.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 567.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 585.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 603.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 621.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 639.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 657.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 675.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 693.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 711.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
[ordered-list, [0.0, 729.0, 576.0, 18.0], shoonya_0sGCFCQ0ZLII75, 5658446]
