[1650, 1275]
[paragraph, [256.0, 115.0, 843.0, 36.0], shoonya_0sKA2W6QXSDU68, 5715176]
[paragraph, [256.0, 151.0, 843.0, 36.0], shoonya_0sKA2W6QXSDU68, 5715176]
[paragraph, [256.0, 223.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 259.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 295.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 331.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 367.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 403.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 439.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 475.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 511.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 547.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 583.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 619.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 655.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 691.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 727.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 763.0, 843.0, 36.0], shoonya_1s3DLH01IL6KRB, 5715176]
[paragraph, [256.0, 836.0, 839.0, 36.0], L5bIRGwtoS, 5715176]
[paragraph, [256.0, 872.0, 839.0, 36.0], L5bIRGwtoS, 5715176]
[paragraph, [256.0, 908.0, 839.0, 36.0], L5bIRGwtoS, 5715176]
[paragraph, [256.0, 944.0, 839.0, 36.0], L5bIRGwtoS, 5715176]
[paragraph, [256.0, 980.0, 839.0, 36.0], L5bIRGwtoS, 5715176]
[paragraph, [256.0, 1016.0, 839.0, 36.0], L5bIRGwtoS, 5715176]
[paragraph, [256.0, 1052.0, 839.0, 36.0], L5bIRGwtoS, 5715176]
[paragraph, [256.0, 1088.0, 839.0, 36.0], L5bIRGwtoS, 5715176]
[paragraph, [256.0, 1124.0, 839.0, 36.0], L5bIRGwtoS, 5715176]
[paragraph, [256.0, 1160.0, 839.0, 36.0], L5bIRGwtoS, 5715176]
[paragraph, [266.0, 1209.0, 831.0, 36.0], OlHbtIM5wr, 5715176]
[paragraph, [266.0, 1245.0, 831.0, 36.0], OlHbtIM5wr, 5715176]
[paragraph, [266.0, 1281.0, 831.0, 36.0], OlHbtIM5wr, 5715176]
[paragraph, [266.0, 1317.0, 831.0, 36.0], OlHbtIM5wr, 5715176]
[paragraph, [266.0, 1353.0, 831.0, 36.0], OlHbtIM5wr, 5715176]
[paragraph, [266.0, 1389.0, 831.0, 36.0], OlHbtIM5wr, 5715176]
[paragraph, [266.0, 1425.0, 831.0, 36.0], OlHbtIM5wr, 5715176]
[paragraph, [266.0, 1461.0, 831.0, 36.0], OlHbtIM5wr, 5715176]
