[1031, 622]
[section-title, [251.0, 69.0, 112.0, 30.0], shoonya_2sF22YBYQ3P1M0, 5710029]
[paragraph, [70.0, 112.0, 480.0, 18.0], shoonya_1sXACZNBFFVZSI, 5710029]
[paragraph, [70.0, 130.0, 480.0, 18.0], shoonya_1sXACZNBFFVZSI, 5710029]
[paragraph, [70.0, 148.0, 480.0, 18.0], shoonya_1sXACZNBFFVZSI, 5710029]
[paragraph, [70.0, 166.0, 480.0, 18.0], shoonya_1sXACZNBFFVZSI, 5710029]
[paragraph, [70.0, 184.0, 480.0, 18.0], shoonya_1sXACZNBFFVZSI, 5710029]
[paragraph, [70.0, 202.0, 480.0, 18.0], shoonya_1sXACZNBFFVZSI, 5710029]
[paragraph, [70.0, 220.0, 480.0, 18.0], shoonya_1sXACZNBFFVZSI, 5710029]
[paragraph, [70.0, 238.0, 480.0, 18.0], shoonya_1sXACZNBFFVZSI, 5710029]
[paragraph, [70.0, 256.0, 480.0, 18.0], shoonya_1sXACZNBFFVZSI, 5710029]
[paragraph, [70.0, 274.0, 480.0, 18.0], shoonya_1sXACZNBFFVZSI, 5710029]
[paragraph, [70.0, 292.0, 480.0, 18.0], shoonya_1sXACZNBFFVZSI, 5710029]
[paragraph, [70.0, 310.0, 480.0, 18.0], shoonya_1sXACZNBFFVZSI, 5710029]
[paragraph, [69.0, 337.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 355.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 373.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 391.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 409.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 427.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 445.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 463.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 481.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 499.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 517.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 535.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 553.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 571.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 589.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 607.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 625.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 643.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 661.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 679.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 697.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 715.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 733.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [69.0, 751.0, 483.0, 18.0], shoonya_0s0Y3B0KKFNJZV, 5710029]
[paragraph, [68.0, 771.0, 481.0, 18.0], zUAV9tgYcO, 5710029]
[paragraph, [68.0, 789.0, 481.0, 18.0], zUAV9tgYcO, 5710029]
[paragraph, [68.0, 807.0, 481.0, 18.0], zUAV9tgYcO, 5710029]
[paragraph, [68.0, 825.0, 481.0, 18.0], zUAV9tgYcO, 5710029]
[paragraph, [68.0, 843.0, 481.0, 18.0], zUAV9tgYcO, 5710029]
[paragraph, [68.0, 861.0, 481.0, 18.0], zUAV9tgYcO, 5710029]
[paragraph, [68.0, 879.0, 481.0, 18.0], zUAV9tgYcO, 5710029]
[paragraph, [68.0, 897.0, 481.0, 18.0], zUAV9tgYcO, 5710029]
[paragraph, [68.0, 915.0, 481.0, 18.0], zUAV9tgYcO, 5710029]
[paragraph, [68.0, 933.0, 481.0, 18.0], zUAV9tgYcO, 5710029]
