[1725, 1313]
[paragraph, [676.0, 146.0, 506.0, 36.0], _bq8pdZnGs, 5771665]
[paragraph, [676.0, 182.0, 506.0, 36.0], _bq8pdZnGs, 5771665]
[paragraph, [676.0, 218.0, 506.0, 36.0], _bq8pdZnGs, 5771665]
[paragraph, [676.0, 254.0, 506.0, 36.0], _bq8pdZnGs, 5771665]
[paragraph, [676.0, 290.0, 506.0, 36.0], _bq8pdZnGs, 5771665]
[paragraph, [676.0, 326.0, 506.0, 36.0], _bq8pdZnGs, 5771665]
[paragraph, [676.0, 362.0, 506.0, 36.0], _bq8pdZnGs, 5771665]
[paragraph, [676.0, 398.0, 506.0, 36.0], _bq8pdZnGs, 5771665]
[paragraph, [670.0, 574.0, 524.0, 36.0], shoonya_1sRVV3CFK8FR27, 5771665]
[paragraph, [670.0, 610.0, 524.0, 36.0], shoonya_1sRVV3CFK8FR27, 5771665]
[paragraph, [670.0, 646.0, 524.0, 36.0], shoonya_1sRVV3CFK8FR27, 5771665]
[paragraph, [670.0, 682.0, 524.0, 36.0], shoonya_1sRVV3CFK8FR27, 5771665]
[paragraph, [670.0, 718.0, 524.0, 36.0], shoonya_1sRVV3CFK8FR27, 5771665]
[paragraph, [120.0, 655.0, 527.0, 36.0], shoonya_3s2TCZ8DXTZPW1, 5771665]
[paragraph, [120.0, 691.0, 527.0, 36.0], shoonya_3s2TCZ8DXTZPW1, 5771665]
[paragraph, [120.0, 727.0, 527.0, 36.0], shoonya_3s2TCZ8DXTZPW1, 5771665]
[paragraph, [120.0, 763.0, 527.0, 36.0], shoonya_3s2TCZ8DXTZPW1, 5771665]
[paragraph, [120.0, 799.0, 527.0, 36.0], shoonya_3s2TCZ8DXTZPW1, 5771665]
[paragraph, [120.0, 835.0, 527.0, 36.0], shoonya_3s2TCZ8DXTZPW1, 5771665]
[paragraph, [120.0, 871.0, 527.0, 36.0], shoonya_3s2TCZ8DXTZPW1, 5771665]
[paragraph, [120.0, 907.0, 527.0, 36.0], shoonya_3s2TCZ8DXTZPW1, 5771665]
[paragraph, [120.0, 943.0, 527.0, 36.0], shoonya_3s2TCZ8DXTZPW1, 5771665]
[paragraph, [662.0, 778.0, 527.0, 36.0], shoonya_5sFC0ESR2R1OKD, 5771665]
[paragraph, [662.0, 814.0, 527.0, 36.0], shoonya_5sFC0ESR2R1OKD, 5771665]
[paragraph, [662.0, 850.0, 527.0, 36.0], shoonya_5sFC0ESR2R1OKD, 5771665]
[paragraph, [662.0, 886.0, 527.0, 36.0], shoonya_5sFC0ESR2R1OKD, 5771665]
[paragraph, [662.0, 922.0, 527.0, 36.0], shoonya_5sFC0ESR2R1OKD, 5771665]
[paragraph, [662.0, 958.0, 527.0, 36.0], shoonya_5sFC0ESR2R1OKD, 5771665]
[paragraph, [662.0, 994.0, 527.0, 36.0], shoonya_5sFC0ESR2R1OKD, 5771665]
[paragraph, [113.0, 1039.0, 358.0, 36.0], shoonya_4sZUOHYBOSKHUW, 5771665]
[paragraph, [113.0, 1075.0, 358.0, 36.0], shoonya_4sZUOHYBOSKHUW, 5771665]
[paragraph, [113.0, 1111.0, 358.0, 36.0], shoonya_4sZUOHYBOSKHUW, 5771665]
[paragraph, [113.0, 1147.0, 358.0, 36.0], shoonya_4sZUOHYBOSKHUW, 5771665]
[paragraph, [113.0, 1183.0, 358.0, 36.0], shoonya_4sZUOHYBOSKHUW, 5771665]
[paragraph, [113.0, 1219.0, 358.0, 36.0], shoonya_4sZUOHYBOSKHUW, 5771665]
[paragraph, [113.0, 1255.0, 358.0, 36.0], shoonya_4sZUOHYBOSKHUW, 5771665]
[paragraph, [113.0, 1291.0, 358.0, 36.0], shoonya_4sZUOHYBOSKHUW, 5771665]
[paragraph, [113.0, 1327.0, 358.0, 36.0], shoonya_4sZUOHYBOSKHUW, 5771665]
[paragraph, [837.0, 1053.0, 376.0, 36.0], EKKvnh4dny, 5771665]
[paragraph, [837.0, 1089.0, 376.0, 36.0], EKKvnh4dny, 5771665]
[paragraph, [837.0, 1125.0, 376.0, 36.0], EKKvnh4dny, 5771665]
[paragraph, [837.0, 1161.0, 376.0, 36.0], EKKvnh4dny, 5771665]
[paragraph, [837.0, 1197.0, 376.0, 36.0], EKKvnh4dny, 5771665]
[paragraph, [837.0, 1233.0, 376.0, 36.0], EKKvnh4dny, 5771665]
[paragraph, [837.0, 1269.0, 376.0, 36.0], EKKvnh4dny, 5771665]
[paragraph, [837.0, 1305.0, 376.0, 36.0], EKKvnh4dny, 5771665]
[paragraph, [837.0, 1341.0, 376.0, 36.0], EKKvnh4dny, 5771665]
[paragraph, [837.0, 1377.0, 376.0, 36.0], EKKvnh4dny, 5771665]
[paragraph, [837.0, 1413.0, 376.0, 36.0], EKKvnh4dny, 5771665]
[paragraph, [837.0, 1449.0, 376.0, 36.0], EKKvnh4dny, 5771665]
[paragraph, [837.0, 1485.0, 376.0, 36.0], EKKvnh4dny, 5771665]
[paragraph, [837.0, 1521.0, 376.0, 36.0], EKKvnh4dny, 5771665]
[sidebar, [474.0, 1076.0, 359.0, 36.0], shoonya_9sY9SC5ECP9RWM, 5771665]
[sidebar, [474.0, 1112.0, 359.0, 36.0], shoonya_9sY9SC5ECP9RWM, 5771665]
[sidebar, [474.0, 1148.0, 359.0, 36.0], shoonya_9sY9SC5ECP9RWM, 5771665]
[sidebar, [474.0, 1184.0, 359.0, 36.0], shoonya_9sY9SC5ECP9RWM, 5771665]
[sidebar, [474.0, 1220.0, 359.0, 36.0], shoonya_9sY9SC5ECP9RWM, 5771665]
[sidebar, [474.0, 1256.0, 359.0, 36.0], shoonya_9sY9SC5ECP9RWM, 5771665]
[sidebar, [474.0, 1292.0, 359.0, 36.0], shoonya_9sY9SC5ECP9RWM, 5771665]
[sidebar, [474.0, 1328.0, 359.0, 36.0], shoonya_9sY9SC5ECP9RWM, 5771665]
[sidebar, [474.0, 1364.0, 359.0, 36.0], shoonya_9sY9SC5ECP9RWM, 5771665]
[sidebar, [474.0, 1400.0, 359.0, 36.0], shoonya_9sY9SC5ECP9RWM, 5771665]
[sidebar, [474.0, 1436.0, 359.0, 36.0], shoonya_9sY9SC5ECP9RWM, 5771665]
[sidebar, [474.0, 1472.0, 359.0, 36.0], shoonya_9sY9SC5ECP9RWM, 5771665]
[paragraph, [123.0, 1389.0, 341.0, 36.0], shoonya_2s8UNUNVJ0AOEV, 5771665]
[paragraph, [123.0, 1425.0, 341.0, 36.0], shoonya_2s8UNUNVJ0AOEV, 5771665]
[paragraph, [123.0, 1461.0, 341.0, 36.0], shoonya_2s8UNUNVJ0AOEV, 5771665]
[paragraph, [123.0, 1497.0, 341.0, 36.0], shoonya_2s8UNUNVJ0AOEV, 5771665]
