[2200, 1700]
[paragraph, [372.0, 113.0, 1134.0, 36.0], shoonya_2sOWNZC7IYUNCX, 5733464]
[paragraph, [372.0, 149.0, 1134.0, 36.0], shoonya_2sOWNZC7IYUNCX, 5733464]
[paragraph, [372.0, 185.0, 1134.0, 36.0], shoonya_2sOWNZC7IYUNCX, 5733464]
[paragraph, [372.0, 221.0, 1134.0, 36.0], shoonya_2sOWNZC7IYUNCX, 5733464]
[paragraph, [372.0, 257.0, 1134.0, 36.0], shoonya_2sOWNZC7IYUNCX, 5733464]
[paragraph, [372.0, 293.0, 1134.0, 36.0], shoonya_2sOWNZC7IYUNCX, 5733464]
[paragraph, [372.0, 329.0, 1134.0, 36.0], shoonya_2sOWNZC7IYUNCX, 5733464]
[paragraph, [372.0, 365.0, 1134.0, 36.0], shoonya_2sOWNZC7IYUNCX, 5733464]
[paragraph, [372.0, 401.0, 1134.0, 36.0], shoonya_2sOWNZC7IYUNCX, 5733464]
[paragraph, [372.0, 437.0, 1134.0, 36.0], shoonya_2sOWNZC7IYUNCX, 5733464]
[paragraph, [372.0, 473.0, 1134.0, 36.0], shoonya_2sOWNZC7IYUNCX, 5733464]
[paragraph, [372.0, 509.0, 1134.0, 36.0], shoonya_2sOWNZC7IYUNCX, 5733464]
[paragraph, [372.0, 545.0, 1134.0, 36.0], shoonya_2sOWNZC7IYUNCX, 5733464]
[paragraph, [368.0, 637.0, 1138.0, 36.0], shoonya_1sT68942C77KNO, 5733464]
[paragraph, [368.0, 673.0, 1138.0, 36.0], shoonya_1sT68942C77KNO, 5733464]
[paragraph, [368.0, 709.0, 1138.0, 36.0], shoonya_1sT68942C77KNO, 5733464]
[paragraph, [368.0, 745.0, 1138.0, 36.0], shoonya_1sT68942C77KNO, 5733464]
[paragraph, [368.0, 781.0, 1138.0, 36.0], shoonya_1sT68942C77KNO, 5733464]
[paragraph, [368.0, 817.0, 1138.0, 36.0], shoonya_1sT68942C77KNO, 5733464]
[paragraph, [368.0, 853.0, 1138.0, 36.0], shoonya_1sT68942C77KNO, 5733464]
[paragraph, [368.0, 889.0, 1138.0, 36.0], shoonya_1sT68942C77KNO, 5733464]
[paragraph, [368.0, 925.0, 1138.0, 36.0], shoonya_1sT68942C77KNO, 5733464]
[paragraph, [368.0, 961.0, 1138.0, 36.0], shoonya_1sT68942C77KNO, 5733464]
[paragraph, [368.0, 997.0, 1138.0, 36.0], shoonya_1sT68942C77KNO, 5733464]
[paragraph, [368.0, 1033.0, 1138.0, 36.0], shoonya_1sT68942C77KNO, 5733464]
[paragraph, [368.0, 1069.0, 1138.0, 36.0], shoonya_1sT68942C77KNO, 5733464]
[paragraph, [371.0, 1161.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [371.0, 1197.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [371.0, 1233.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [371.0, 1269.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [371.0, 1305.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [371.0, 1341.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [371.0, 1377.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [371.0, 1413.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [371.0, 1449.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [371.0, 1485.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [371.0, 1521.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [371.0, 1557.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [371.0, 1593.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [371.0, 1629.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [371.0, 1665.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [371.0, 1701.0, 1136.0, 36.0], shoonya_0sBI1MW7QU9IBJ, 5733464]
[paragraph, [370.0, 1846.0, 1137.0, 36.0], shoonya_3sNY8H5W09NDAB, 5733464]
[paragraph, [370.0, 1882.0, 1137.0, 36.0], shoonya_3sNY8H5W09NDAB, 5733464]
[paragraph, [370.0, 1918.0, 1137.0, 36.0], shoonya_3sNY8H5W09NDAB, 5733464]
[paragraph, [370.0, 1954.0, 1137.0, 36.0], shoonya_3sNY8H5W09NDAB, 5733464]
