[1875, 1200]
[folio, [273.0, 198.0, 750.0, 36.0], J00JxLY7mA, 5711200]
[section-title, [174.0, 278.0, 791.0, 49.5], ZF5M1-EXMc, 5711200]
[paragraph, [178.0, 381.0, 850.0, 36.0], shoonya_1sXLWN6OQERMEG, 5711200]
[paragraph, [178.0, 417.0, 850.0, 36.0], shoonya_1sXLWN6OQERMEG, 5711200]
[paragraph, [178.0, 453.0, 850.0, 36.0], shoonya_1sXLWN6OQERMEG, 5711200]
[paragraph, [178.0, 489.0, 850.0, 36.0], shoonya_1sXLWN6OQERMEG, 5711200]
[paragraph, [178.0, 525.0, 850.0, 36.0], shoonya_1sXLWN6OQERMEG, 5711200]
[paragraph, [167.0, 587.0, 861.0, 36.0], knTR9881N7, 5711200]
[paragraph, [167.0, 623.0, 861.0, 36.0], knTR9881N7, 5711200]
[paragraph, [167.0, 659.0, 861.0, 36.0], knTR9881N7, 5711200]
[paragraph, [167.0, 695.0, 861.0, 36.0], knTR9881N7, 5711200]
[paragraph, [167.0, 731.0, 861.0, 36.0], knTR9881N7, 5711200]
[paragraph, [167.0, 767.0, 861.0, 36.0], knTR9881N7, 5711200]
[paragraph, [167.0, 803.0, 861.0, 36.0], knTR9881N7, 5711200]
[paragraph, [167.0, 839.0, 861.0, 36.0], knTR9881N7, 5711200]
[paragraph, [167.0, 875.0, 861.0, 36.0], knTR9881N7, 5711200]
[paragraph, [167.0, 911.0, 861.0, 36.0], knTR9881N7, 5711200]
[paragraph, [167.0, 947.0, 861.0, 36.0], knTR9881N7, 5711200]
[paragraph, [167.0, 983.0, 861.0, 36.0], knTR9881N7, 5711200]
[paragraph, [170.0, 1028.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
[paragraph, [170.0, 1064.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
[paragraph, [170.0, 1100.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
[paragraph, [170.0, 1136.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
[paragraph, [170.0, 1172.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
[paragraph, [170.0, 1208.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
[paragraph, [170.0, 1244.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
[paragraph, [170.0, 1280.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
[paragraph, [170.0, 1316.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
[paragraph, [170.0, 1352.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
[paragraph, [170.0, 1388.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
[paragraph, [170.0, 1424.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
[paragraph, [170.0, 1460.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
[paragraph, [170.0, 1496.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
[paragraph, [170.0, 1532.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
[paragraph, [170.0, 1568.0, 841.0, 36.0], shoonya_0sHFEJ39YDJNSX, 5711200]
