[1601, 1158]
[headline, [117.0, 92.0, 927.0, 37.5], FZId75S0Sp, 5695267]
[headline, [117.0, 129.5, 927.0, 37.5], FZId75S0Sp, 5695267]
[headline, [117.0, 167.0, 927.0, 37.5], FZId75S0Sp, 5695267]
[headline, [117.0, 204.5, 927.0, 37.5], FZId75S0Sp, 5695267]
[headline, [117.0, 242.0, 927.0, 37.5], FZId75S0Sp, 5695267]
[author, [455.0, 315.0, 253.0, 36.0], shoonya_5sB1RHCZHM7Y0E, 5695267]
[paragraph, [468.0, 408.0, 577.0, 36.0], shoonya_0sBHY28EIQMEGZ, 5695267]
[paragraph, [468.0, 444.0, 577.0, 36.0], shoonya_0sBHY28EIQMEGZ, 5695267]
[paragraph, [468.0, 480.0, 577.0, 36.0], shoonya_0sBHY28EIQMEGZ, 5695267]
[paragraph, [468.0, 516.0, 577.0, 36.0], shoonya_0sBHY28EIQMEGZ, 5695267]
[paragraph, [468.0, 552.0, 577.0, 36.0], shoonya_0sBHY28EIQMEGZ, 5695267]
[paragraph, [468.0, 588.0, 577.0, 36.0], shoonya_0sBHY28EIQMEGZ, 5695267]
[paragraph, [468.0, 624.0, 577.0, 36.0], shoonya_0sBHY28EIQMEGZ, 5695267]
[paragraph, [468.0, 660.0, 577.0, 36.0], shoonya_0sBHY28EIQMEGZ, 5695267]
[paragraph, [468.0, 696.0, 577.0, 36.0], shoonya_0sBHY28EIQMEGZ, 5695267]
[paragraph, [468.0, 732.0, 577.0, 36.0], shoonya_0sBHY28EIQMEGZ, 5695267]
[paragraph, [468.0, 768.0, 577.0, 36.0], shoonya_0sBHY28EIQMEGZ, 5695267]
[paragraph, [468.0, 804.0, 577.0, 36.0], shoonya_0sBHY28EIQMEGZ, 5695267]
[paragraph, [468.0, 840.0, 577.0, 36.0], shoonya_0sBHY28EIQMEGZ, 5695267]
[paragraph, [468.0, 876.0, 577.0, 36.0], shoonya_0sBHY28EIQMEGZ, 5695267]
[paragraph, [468.0, 912.0, 577.0, 36.0], shoonya_0sBHY28EIQMEGZ, 5695267]
[paragraph, [468.0, 977.0, 575.0, 36.0], shoonya_2s0KZT3A1BPKFG, 5695267]
[paragraph, [468.0, 1013.0, 575.0, 36.0], shoonya_2s0KZT3A1BPKFG, 5695267]
[paragraph, [468.0, 1049.0, 575.0, 36.0], shoonya_2s0KZT3A1BPKFG, 5695267]
[paragraph, [468.0, 1085.0, 575.0, 36.0], shoonya_2s0KZT3A1BPKFG, 5695267]
[paragraph, [468.0, 1121.0, 575.0, 36.0], shoonya_2s0KZT3A1BPKFG, 5695267]
[paragraph, [468.0, 1157.0, 575.0, 36.0], shoonya_2s0KZT3A1BPKFG, 5695267]
[paragraph, [468.0, 1193.0, 575.0, 36.0], shoonya_2s0KZT3A1BPKFG, 5695267]
[paragraph, [462.0, 1266.0, 584.0, 36.0], shoonya_3sIL3V17S81Z8V, 5695267]
[paragraph, [462.0, 1302.0, 584.0, 36.0], shoonya_3sIL3V17S81Z8V, 5695267]
[paragraph, [462.0, 1338.0, 584.0, 36.0], shoonya_3sIL3V17S81Z8V, 5695267]
[paragraph, [462.0, 1374.0, 584.0, 36.0], shoonya_3sIL3V17S81Z8V, 5695267]
[paragraph, [462.0, 1410.0, 584.0, 36.0], shoonya_3sIL3V17S81Z8V, 5695267]
[folio, [511.0, 1479.0, 96.0, 36.0], Rq3Ma1c_-3, 5695267]
