[1606, 1056]
[folio, [103.0, 104.0, 227.0, 36.0], shoonya_7s3IPTRQ6KUU42, 5684017]
[folio, [450.0, 104.0, 163.0, 36.0], shoonya_3s3RQLIDIP1UXO, 5684017]
[paragraph, [102.0, 153.0, 858.0, 36.0], shoonya_1sN5PLB1X73C57, 5684017]
[paragraph, [102.0, 189.0, 858.0, 36.0], shoonya_1sN5PLB1X73C57, 5684017]
[paragraph, [102.0, 225.0, 858.0, 36.0], shoonya_1sN5PLB1X73C57, 5684017]
[ordered-list, [164.0, 292.0, 320.0, 36.0], shoonya_8sRJ5S4ML3UPDA, 5684017]
[ordered-list, [164.0, 328.0, 320.0, 36.0], shoonya_8sRJ5S4ML3UPDA, 5684017]
[ordered-list, [164.0, 364.0, 320.0, 36.0], shoonya_8sRJ5S4ML3UPDA, 5684017]
[ordered-list, [164.0, 400.0, 320.0, 36.0], shoonya_8sRJ5S4ML3UPDA, 5684017]
[ordered-list, [164.0, 436.0, 320.0, 36.0], shoonya_8sRJ5S4ML3UPDA, 5684017]
[ordered-list, [164.0, 472.0, 320.0, 36.0], shoonya_8sRJ5S4ML3UPDA, 5684017]
[ordered-list, [164.0, 508.0, 320.0, 36.0], shoonya_8sRJ5S4ML3UPDA, 5684017]
[paragraph, [106.0, 562.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 598.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 634.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 670.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 706.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 742.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 778.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 814.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 850.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 886.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 922.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 958.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 994.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 1030.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 1066.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 1102.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 1138.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 1174.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 1210.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [106.0, 1246.0, 849.0, 36.0], shoonya_0sY4PSS67B6M1W, 5684017]
[paragraph, [104.0, 1292.0, 852.0, 36.0], shoonya_5sW0QQWNRFJVZG, 5684017]
[paragraph, [104.0, 1328.0, 852.0, 36.0], shoonya_5sW0QQWNRFJVZG, 5684017]
[paragraph, [104.0, 1364.0, 852.0, 36.0], shoonya_5sW0QQWNRFJVZG, 5684017]
[paragraph, [104.0, 1400.0, 852.0, 36.0], shoonya_5sW0QQWNRFJVZG, 5684017]
[paragraph, [104.0, 1436.0, 852.0, 36.0], shoonya_5sW0QQWNRFJVZG, 5684017]
[paragraph, [104.0, 1472.0, 852.0, 36.0], shoonya_5sW0QQWNRFJVZG, 5684017]
