[1951, 1219]
[chapter-title, [317.0, 410.0, 561.0, 58.5], shoonya_0s5MYONKCE1PGP, 5681910]
[paragraph, [129.0, 574.0, 967.0, 36.0], dcn10wf6pD, 5681910]
[paragraph, [129.0, 610.0, 967.0, 36.0], dcn10wf6pD, 5681910]
[paragraph, [129.0, 646.0, 967.0, 36.0], dcn10wf6pD, 5681910]
[paragraph, [129.0, 682.0, 967.0, 36.0], dcn10wf6pD, 5681910]
[paragraph, [129.0, 718.0, 967.0, 36.0], dcn10wf6pD, 5681910]
[paragraph, [129.0, 754.0, 967.0, 36.0], dcn10wf6pD, 5681910]
[paragraph, [129.0, 790.0, 967.0, 36.0], dcn10wf6pD, 5681910]
[paragraph, [129.0, 861.0, 967.0, 36.0], I6h-t_rQE7, 5681910]
[paragraph, [129.0, 897.0, 967.0, 36.0], I6h-t_rQE7, 5681910]
[paragraph, [129.0, 933.0, 967.0, 36.0], I6h-t_rQE7, 5681910]
[paragraph, [129.0, 969.0, 967.0, 36.0], I6h-t_rQE7, 5681910]
[paragraph, [129.0, 1005.0, 967.0, 36.0], I6h-t_rQE7, 5681910]
[paragraph, [129.0, 1041.0, 967.0, 36.0], I6h-t_rQE7, 5681910]
[paragraph, [129.0, 1092.0, 970.0, 36.0], Nr4MesOZi6, 5681910]
[paragraph, [129.0, 1128.0, 970.0, 36.0], Nr4MesOZi6, 5681910]
[paragraph, [129.0, 1164.0, 970.0, 36.0], Nr4MesOZi6, 5681910]
[paragraph, [129.0, 1200.0, 970.0, 36.0], Nr4MesOZi6, 5681910]
[paragraph, [129.0, 1236.0, 970.0, 36.0], Nr4MesOZi6, 5681910]
[paragraph, [129.0, 1272.0, 970.0, 36.0], Nr4MesOZi6, 5681910]
[paragraph, [129.0, 1308.0, 970.0, 36.0], Nr4MesOZi6, 5681910]
[paragraph, [129.0, 1344.0, 970.0, 36.0], Nr4MesOZi6, 5681910]
[paragraph, [129.0, 1380.0, 970.0, 36.0], Nr4MesOZi6, 5681910]
[paragraph, [127.0, 1434.0, 970.0, 36.0], iaT_QGruYl, 5681910]
[paragraph, [127.0, 1470.0, 970.0, 36.0], iaT_QGruYl, 5681910]
[paragraph, [127.0, 1506.0, 970.0, 36.0], iaT_QGruYl, 5681910]
[paragraph, [127.0, 1542.0, 970.0, 36.0], iaT_QGruYl, 5681910]
[paragraph, [127.0, 1578.0, 970.0, 36.0], iaT_QGruYl, 5681910]
[paragraph, [127.0, 1614.0, 970.0, 36.0], iaT_QGruYl, 5681910]
[paragraph, [220.0, 1662.0, 449.0, 36.0], 6F6KnO4l3U, 5681910]
[paragraph, [217.0, 1713.0, 140.0, 36.0], bPAO9-rhQO, 5681910]
