[1625, 1211]
[section-title, [575.0, 113.0, 425.0, 49.5], MYS2u2rTeR, 5742387]
[section-title, [575.0, 162.5, 425.0, 49.5], MYS2u2rTeR, 5742387]
[folio, [174.0, 194.0, 150.0, 36.0], TbzPr8_gSf, 5742387]
[unordered-list, [464.0, 245.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 281.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 317.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 353.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 389.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 425.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 461.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 497.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 533.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 569.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 605.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 641.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 677.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 713.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 749.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 785.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 821.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 857.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 893.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 929.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 965.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 1001.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 1037.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 1073.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 1109.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 1145.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 1181.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 1217.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 1253.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 1289.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 1325.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 1361.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 1397.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[unordered-list, [464.0, 1433.0, 645.0, 36.0], shoonya_3s6VZKQQJ3EXI0, 5742387]
[paragraph, [92.0, 479.0, 192.0, 36.0], shoonya_5sHLOJAD6NTPW3, 5742387]
[paragraph, [92.0, 515.0, 192.0, 36.0], shoonya_5sHLOJAD6NTPW3, 5742387]
[paragraph, [89.0, 996.0, 338.0, 36.0], shoonya_2s2HEF7AUQHWH6, 5742387]
[paragraph, [89.0, 1032.0, 338.0, 36.0], shoonya_2s2HEF7AUQHWH6, 5742387]
[contact-info, [103.0, 1266.0, 310.0, 36.0], vzXscNCo0R, 5742387]
[contact-info, [103.0, 1302.0, 310.0, 36.0], vzXscNCo0R, 5742387]
