[1152, 739]
[paragraph, [100.0, 193.0, 543.0, 18.0], 3Zc8pNbSIG, 5740323]
[paragraph, [100.0, 211.0, 543.0, 18.0], 3Zc8pNbSIG, 5740323]
[paragraph, [100.0, 229.0, 543.0, 18.0], 3Zc8pNbSIG, 5740323]
[paragraph, [100.0, 247.0, 543.0, 18.0], 3Zc8pNbSIG, 5740323]
[paragraph, [100.0, 265.0, 543.0, 18.0], 3Zc8pNbSIG, 5740323]
[paragraph, [100.0, 293.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 311.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 329.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 347.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 365.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 383.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 401.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 419.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 437.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 455.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 473.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 491.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 509.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 527.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 545.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 563.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 581.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 599.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 617.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 635.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 653.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 671.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 689.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 707.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 725.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 743.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 761.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 779.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 797.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 815.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 833.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 851.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 869.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 887.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 905.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 923.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 941.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 959.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 977.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[paragraph, [100.0, 995.0, 542.0, 18.0], 33hBnvJ3lc, 5740323]
[footnote, [423.0, 1110.0, 261.0, 18.0], TiJmzQ9DTe, 5740323]
