[1565, 1152]
[author, [640.0, 100.0, 362.0, 36.0], DiJX5nRkyI, 5722011]
[paragraph, [102.0, 270.0, 573.0, 36.0], shoonya_2sZW9ZVKD68IG8, 5722011]
[paragraph, [102.0, 306.0, 573.0, 36.0], shoonya_2sZW9ZVKD68IG8, 5722011]
[paragraph, [102.0, 342.0, 573.0, 36.0], shoonya_2sZW9ZVKD68IG8, 5722011]
[paragraph, [102.0, 378.0, 573.0, 36.0], shoonya_2sZW9ZVKD68IG8, 5722011]
[paragraph, [102.0, 414.0, 573.0, 36.0], shoonya_2sZW9ZVKD68IG8, 5722011]
[paragraph, [99.0, 480.0, 573.0, 36.0], shoonya_1sLN8YWCQJ0I8B, 5722011]
[paragraph, [99.0, 516.0, 573.0, 36.0], shoonya_1sLN8YWCQJ0I8B, 5722011]
[paragraph, [99.0, 552.0, 573.0, 36.0], shoonya_1sLN8YWCQJ0I8B, 5722011]
[paragraph, [99.0, 588.0, 573.0, 36.0], shoonya_1sLN8YWCQJ0I8B, 5722011]
[paragraph, [99.0, 624.0, 573.0, 36.0], shoonya_1sLN8YWCQJ0I8B, 5722011]
[paragraph, [729.0, 553.0, 242.0, 36.0], shoonya_4sRPXTH82EOILH, 5722011]
[paragraph, [729.0, 589.0, 242.0, 36.0], shoonya_4sRPXTH82EOILH, 5722011]
[paragraph, [729.0, 625.0, 242.0, 36.0], shoonya_4sRPXTH82EOILH, 5722011]
[paragraph, [729.0, 661.0, 242.0, 36.0], shoonya_4sRPXTH82EOILH, 5722011]
[paragraph, [729.0, 697.0, 242.0, 36.0], shoonya_4sRPXTH82EOILH, 5722011]
[paragraph, [729.0, 733.0, 242.0, 36.0], shoonya_4sRPXTH82EOILH, 5722011]
[paragraph, [105.0, 679.0, 576.0, 36.0], exMGcMA1Ur, 5722011]
[paragraph, [105.0, 715.0, 576.0, 36.0], exMGcMA1Ur, 5722011]
[paragraph, [105.0, 751.0, 576.0, 36.0], exMGcMA1Ur, 5722011]
[paragraph, [105.0, 787.0, 576.0, 36.0], exMGcMA1Ur, 5722011]
[author, [591.0, 872.0, 426.0, 36.0], H5hifGs2Yk, 5722011]
[sub-section-title, [135.0, 968.0, 339.0, 36.0], -afxzLJxlt, 5722011]
[paragraph, [110.0, 1031.0, 897.0, 36.0], shoonya_6s3K55D31EGTRU, 5722011]
[paragraph, [110.0, 1067.0, 897.0, 36.0], shoonya_6s3K55D31EGTRU, 5722011]
[paragraph, [109.0, 1152.0, 903.0, 36.0], shoonya_8sZPF55MNM9H54, 5722011]
[paragraph, [109.0, 1188.0, 903.0, 36.0], shoonya_8sZPF55MNM9H54, 5722011]
[paragraph, [109.0, 1224.0, 903.0, 36.0], shoonya_8sZPF55MNM9H54, 5722011]
[paragraph, [109.0, 1260.0, 903.0, 36.0], shoonya_8sZPF55MNM9H54, 5722011]
[paragraph, [109.0, 1296.0, 903.0, 36.0], shoonya_8sZPF55MNM9H54, 5722011]
[paragraph, [109.0, 1332.0, 903.0, 36.0], shoonya_8sZPF55MNM9H54, 5722011]
[paragraph, [109.0, 1368.0, 903.0, 36.0], shoonya_8sZPF55MNM9H54, 5722011]
