[2339, 1653]
[paragraph, [349.0, 241.0, 1051.0, 36.0], lfyN_ApheX, 5686995]
[paragraph, [342.0, 301.0, 991.0, 36.0], jXMDTPVlg2, 5686995]
[reference, [349.0, 361.0, 216.0, 36.0], BC1Xzg_6Lk, 5686995]
[ordered-list, [252.0, 470.0, 1159.0, 36.0], 9F_s6DuXzt, 5686995]
[ordered-list, [252.0, 506.0, 1159.0, 36.0], 9F_s6DuXzt, 5686995]
[ordered-list, [252.0, 542.0, 1159.0, 36.0], 9F_s6DuXzt, 5686995]
[ordered-list, [252.0, 578.0, 1159.0, 36.0], 9F_s6DuXzt, 5686995]
[ordered-list, [252.0, 614.0, 1159.0, 36.0], 9F_s6DuXzt, 5686995]
[ordered-list, [252.0, 650.0, 1159.0, 36.0], 9F_s6DuXzt, 5686995]
[ordered-list, [252.0, 686.0, 1159.0, 36.0], 9F_s6DuXzt, 5686995]
[ordered-list, [252.0, 722.0, 1159.0, 36.0], 9F_s6DuXzt, 5686995]
[ordered-list, [252.0, 758.0, 1159.0, 36.0], 9F_s6DuXzt, 5686995]
[ordered-list, [252.0, 794.0, 1159.0, 36.0], 9F_s6DuXzt, 5686995]
[ordered-list, [252.0, 830.0, 1159.0, 36.0], 9F_s6DuXzt, 5686995]
[ordered-list, [252.0, 866.0, 1159.0, 36.0], 9F_s6DuXzt, 5686995]
[ordered-list, [252.0, 902.0, 1159.0, 36.0], 9F_s6DuXzt, 5686995]
[ordered-list, [252.0, 938.0, 1159.0, 36.0], 9F_s6DuXzt, 5686995]
[ordered-list, [345.0, 1004.0, 495.0, 36.0], Vk5apwe0iX, 5686995]
[reference, [851.0, 1010.0, 208.0, 36.0], pIld4CN4KF, 5686995]
[paragraph, [253.0, 1071.0, 1152.0, 36.0], shoonya_0sM5WMXDS223BN, 5686995]
[paragraph, [253.0, 1107.0, 1152.0, 36.0], shoonya_0sM5WMXDS223BN, 5686995]
[paragraph, [253.0, 1143.0, 1152.0, 36.0], shoonya_0sM5WMXDS223BN, 5686995]
[paragraph, [253.0, 1179.0, 1152.0, 36.0], shoonya_0sM5WMXDS223BN, 5686995]
[paragraph, [253.0, 1215.0, 1152.0, 36.0], shoonya_0sM5WMXDS223BN, 5686995]
[paragraph, [520.0, 1285.0, 882.0, 36.0], 0rwPr1StrS, 5686995]
[paragraph, [252.0, 1351.0, 1150.0, 36.0], 5zM1no8Pl2, 5686995]
[paragraph, [252.0, 1387.0, 1150.0, 36.0], 5zM1no8Pl2, 5686995]
[paragraph, [252.0, 1423.0, 1150.0, 36.0], 5zM1no8Pl2, 5686995]
[paragraph, [252.0, 1459.0, 1150.0, 36.0], 5zM1no8Pl2, 5686995]
[paragraph, [252.0, 1495.0, 1150.0, 36.0], 5zM1no8Pl2, 5686995]
[paragraph, [251.0, 1559.0, 1149.0, 36.0], shoonya_1s4K4DNCCO520Y, 5686995]
[paragraph, [251.0, 1595.0, 1149.0, 36.0], shoonya_1s4K4DNCCO520Y, 5686995]
[paragraph, [251.0, 1631.0, 1149.0, 36.0], shoonya_1s4K4DNCCO520Y, 5686995]
[paragraph, [251.0, 1667.0, 1149.0, 36.0], shoonya_1s4K4DNCCO520Y, 5686995]
[paragraph, [251.0, 1703.0, 1149.0, 36.0], shoonya_1s4K4DNCCO520Y, 5686995]
[paragraph, [251.0, 1739.0, 1149.0, 36.0], shoonya_1s4K4DNCCO520Y, 5686995]
[paragraph, [251.0, 1775.0, 1149.0, 36.0], shoonya_1s4K4DNCCO520Y, 5686995]
[paragraph, [250.0, 1840.0, 1156.0, 36.0], shoonya_2sUQ02DB6YNH8D, 5686995]
[paragraph, [250.0, 1876.0, 1156.0, 36.0], shoonya_2sUQ02DB6YNH8D, 5686995]
[paragraph, [250.0, 1912.0, 1156.0, 36.0], shoonya_2sUQ02DB6YNH8D, 5686995]
[paragraph, [250.0, 1948.0, 1156.0, 36.0], shoonya_2sUQ02DB6YNH8D, 5686995]
[paragraph, [250.0, 1984.0, 1156.0, 36.0], shoonya_2sUQ02DB6YNH8D, 5686995]
[paragraph, [250.0, 2020.0, 1156.0, 36.0], shoonya_2sUQ02DB6YNH8D, 5686995]
[paragraph, [250.0, 2056.0, 1156.0, 36.0], shoonya_2sUQ02DB6YNH8D, 5686995]
