[1226, 792]
[paragraph, [57.0, 113.0, 659.0, 18.0], DviQYei_WP, 5700519]
[paragraph, [57.0, 131.0, 659.0, 18.0], DviQYei_WP, 5700519]
[paragraph, [57.0, 149.0, 659.0, 18.0], DviQYei_WP, 5700519]
[unordered-list, [49.0, 171.0, 662.0, 18.0], nHH-7Nex7k, 5700519]
[unordered-list, [49.0, 189.0, 662.0, 18.0], nHH-7Nex7k, 5700519]
[unordered-list, [49.0, 207.0, 662.0, 18.0], nHH-7Nex7k, 5700519]
[unordered-list, [49.0, 225.0, 662.0, 18.0], nHH-7Nex7k, 5700519]
[unordered-list, [49.0, 243.0, 662.0, 18.0], nHH-7Nex7k, 5700519]
[unordered-list, [49.0, 261.0, 662.0, 18.0], nHH-7Nex7k, 5700519]
[unordered-list, [49.0, 279.0, 662.0, 18.0], nHH-7Nex7k, 5700519]
[unordered-list, [49.0, 297.0, 662.0, 18.0], nHH-7Nex7k, 5700519]
[unordered-list, [49.0, 315.0, 662.0, 18.0], nHH-7Nex7k, 5700519]
[unordered-list, [49.0, 333.0, 662.0, 18.0], nHH-7Nex7k, 5700519]
[unordered-list, [49.0, 351.0, 662.0, 18.0], nHH-7Nex7k, 5700519]
[unordered-list, [49.0, 369.0, 662.0, 18.0], nHH-7Nex7k, 5700519]
[paragraph, [52.0, 390.0, 663.0, 18.0], shoonya_0sYHFCBZ4AT1UH, 5700519]
[paragraph, [52.0, 408.0, 663.0, 18.0], shoonya_0sYHFCBZ4AT1UH, 5700519]
[paragraph, [52.0, 426.0, 663.0, 18.0], shoonya_0sYHFCBZ4AT1UH, 5700519]
[paragraph, [52.0, 444.0, 663.0, 18.0], shoonya_0sYHFCBZ4AT1UH, 5700519]
[paragraph, [52.0, 462.0, 663.0, 18.0], shoonya_0sYHFCBZ4AT1UH, 5700519]
[paragraph, [52.0, 480.0, 663.0, 18.0], shoonya_0sYHFCBZ4AT1UH, 5700519]
[paragraph, [49.0, 555.0, 667.0, 18.0], L5XDteXPkz, 5700519]
[paragraph, [49.0, 573.0, 667.0, 18.0], L5XDteXPkz, 5700519]
[ordered-list, [50.0, 609.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 627.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 645.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 663.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 681.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 699.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 717.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 735.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 753.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 771.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 789.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 807.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 825.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 843.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 861.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 879.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 897.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 915.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 933.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 951.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 969.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 987.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 1005.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 1023.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 1041.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 1059.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 1077.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 1095.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 1113.0, 669.0, 18.0], B1zdQhUitd, 5700519]
[ordered-list, [50.0, 1131.0, 669.0, 18.0], B1zdQhUitd, 5700519]
