[1336, 843]
[paragraph, [27.0, 36.0, 788.0, 18.0], 91AwGjTAJj, 5660289]
[paragraph, [27.0, 54.0, 788.0, 18.0], 91AwGjTAJj, 5660289]
[paragraph, [27.0, 72.0, 788.0, 18.0], 91AwGjTAJj, 5660289]
[paragraph, [26.0, 110.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [26.0, 128.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [26.0, 146.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [26.0, 164.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [26.0, 182.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [26.0, 200.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [26.0, 218.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [26.0, 236.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [26.0, 254.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [26.0, 272.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [26.0, 290.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [26.0, 308.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [26.0, 326.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [26.0, 344.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [26.0, 362.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [26.0, 380.0, 778.0, 18.0], lZLwiGE1NH, 5660289]
[paragraph, [34.0, 403.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 421.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 439.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 457.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 475.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 493.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 511.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 529.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 547.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 565.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 583.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 601.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 619.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 637.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 655.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 673.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 691.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 709.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 727.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 745.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 763.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 781.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 799.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 817.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 835.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 853.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 871.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 889.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 907.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 925.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 943.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 961.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [34.0, 979.0, 768.0, 18.0], R7-ACwnpDF, 5660289]
[paragraph, [41.0, 1015.0, 767.0, 18.0], AidVBiHDHn, 5660289]
[paragraph, [41.0, 1033.0, 767.0, 18.0], AidVBiHDHn, 5660289]
[paragraph, [41.0, 1051.0, 767.0, 18.0], AidVBiHDHn, 5660289]
[paragraph, [41.0, 1069.0, 767.0, 18.0], AidVBiHDHn, 5660289]
[paragraph, [41.0, 1087.0, 767.0, 18.0], AidVBiHDHn, 5660289]
[paragraph, [41.0, 1105.0, 767.0, 18.0], AidVBiHDHn, 5660289]
[paragraph, [41.0, 1123.0, 767.0, 18.0], AidVBiHDHn, 5660289]
[paragraph, [41.0, 1141.0, 767.0, 18.0], AidVBiHDHn, 5660289]
[paragraph, [41.0, 1159.0, 767.0, 18.0], AidVBiHDHn, 5660289]
[paragraph, [41.0, 1177.0, 767.0, 18.0], AidVBiHDHn, 5660289]
[folio, [26.0, 1212.0, 168.0, 18.0], v9pchqrGDY, 5660289]
[footnote, [5.0, 1253.0, 829.0, 18.0], QaWYtzrKwQ, 5660289]
[footnote, [5.0, 1271.0, 829.0, 18.0], QaWYtzrKwQ, 5660289]
[footnote, [5.0, 1289.0, 829.0, 18.0], QaWYtzrKwQ, 5660289]
[footnote, [5.0, 1307.0, 829.0, 18.0], QaWYtzrKwQ, 5660289]
[website-link, [479.0, 1289.0, 206.0, 18.0], _TF-73b68G, 5660289]
[website-link, [154.0, 1294.0, 226.0, 18.0], 2dCJ_Zm-Ti, 5660289]
