[2338, 1654]
[paragraph, [269.0, 234.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 270.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 306.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 342.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 378.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 414.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 450.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 486.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 522.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 558.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 594.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 630.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 666.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 702.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 738.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 774.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 810.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 846.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 882.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 918.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [269.0, 954.0, 1200.0, 36.0], shoonya_0sGU7R2V4L35B2, 5754138]
[paragraph, [268.0, 1022.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1058.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1094.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1130.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1166.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1202.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1238.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1274.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1310.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1346.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1382.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1418.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1454.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1490.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1526.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1562.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1598.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1634.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1670.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1706.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1742.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1778.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1814.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1850.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
[paragraph, [268.0, 1886.0, 1194.0, 36.0], shoonya_1s5ZBSJ4AX9BU7, 5754138]
