[1162, 749]
[folio, [336.0, 73.0, 87.0, 18.0], shoonya_2sO6V1YTPK6TYO, 5699486]
[paragraph, [76.0, 120.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 138.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 156.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 174.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 192.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 210.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 228.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 246.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 264.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 282.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 300.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 318.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 336.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 354.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 372.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 390.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 408.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 426.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 444.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 462.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 480.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 498.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 516.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 534.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 552.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 570.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 588.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 606.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 624.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [76.0, 642.0, 602.0, 18.0], shoonya_0sNAEWAYN8YZC2, 5699486]
[paragraph, [73.0, 673.0, 600.0, 18.0], shoonya_1sCQJYT8GUGH0Y, 5699486]
[paragraph, [73.0, 691.0, 600.0, 18.0], shoonya_1sCQJYT8GUGH0Y, 5699486]
[paragraph, [73.0, 709.0, 600.0, 18.0], shoonya_1sCQJYT8GUGH0Y, 5699486]
[paragraph, [73.0, 727.0, 600.0, 18.0], shoonya_1sCQJYT8GUGH0Y, 5699486]
[paragraph, [73.0, 745.0, 600.0, 18.0], shoonya_1sCQJYT8GUGH0Y, 5699486]
[paragraph, [73.0, 763.0, 600.0, 18.0], shoonya_1sCQJYT8GUGH0Y, 5699486]
[paragraph, [73.0, 781.0, 600.0, 18.0], shoonya_1sCQJYT8GUGH0Y, 5699486]
