[842, 596]
[section-title, [259.0, 52.0, 85.0, 30.0], JdCaR0dEMn, 5756966]
[sub-section-title, [155.0, 79.0, 308.0, 25.5], kKT020guD2, 5756966]
[subsub-section-title, [248.0, 118.0, 109.0, 15.0], AjsAXvO9kE, 5756966]
[ordered-list, [39.0, 147.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 165.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 183.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 201.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 219.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 237.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 255.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 273.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 291.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 309.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 327.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 345.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 363.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 381.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 399.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 417.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 435.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 453.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 471.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 489.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 507.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 525.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 543.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 561.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 579.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 597.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
[ordered-list, [39.0, 615.0, 510.0, 18.0], LI8xOLtKrk, 5756966]
