[1565, 1152]
[section-title, [681.0, 75.0, 371.0, 49.5], EdPLaBnJ8j, 5712964]
[headline, [87.0, 138.0, 414.0, 37.5], Y3BuKFqrpP, 5712964]
[paragraph, [82.0, 205.0, 519.0, 36.0], shoonya_3sKEHXR951TXOW, 5712964]
[paragraph, [82.0, 241.0, 519.0, 36.0], shoonya_3sKEHXR951TXOW, 5712964]
[paragraph, [82.0, 277.0, 519.0, 36.0], shoonya_3sKEHXR951TXOW, 5712964]
[paragraph, [82.0, 313.0, 519.0, 36.0], shoonya_3sKEHXR951TXOW, 5712964]
[paragraph, [82.0, 349.0, 519.0, 36.0], shoonya_3sKEHXR951TXOW, 5712964]
[paragraph, [82.0, 385.0, 519.0, 36.0], shoonya_3sKEHXR951TXOW, 5712964]
[paragraph, [82.0, 421.0, 519.0, 36.0], shoonya_3sKEHXR951TXOW, 5712964]
[paragraph, [82.0, 457.0, 519.0, 36.0], shoonya_3sKEHXR951TXOW, 5712964]
[paragraph, [82.0, 493.0, 519.0, 36.0], shoonya_3sKEHXR951TXOW, 5712964]
[paragraph, [82.0, 529.0, 519.0, 36.0], shoonya_3sKEHXR951TXOW, 5712964]
[sub-section-title, [662.0, 518.0, 357.0, 36.0], OquTfKze_p, 5712964]
[paragraph, [671.0, 592.0, 339.0, 36.0], BWCIXaWGif, 5712964]
[paragraph, [671.0, 628.0, 339.0, 36.0], BWCIXaWGif, 5712964]
[paragraph, [671.0, 664.0, 339.0, 36.0], BWCIXaWGif, 5712964]
[paragraph, [671.0, 700.0, 339.0, 36.0], BWCIXaWGif, 5712964]
[paragraph, [672.0, 751.0, 358.0, 36.0], i4tjagKHfL, 5712964]
[paragraph, [672.0, 787.0, 358.0, 36.0], i4tjagKHfL, 5712964]
[paragraph, [672.0, 823.0, 358.0, 36.0], i4tjagKHfL, 5712964]
[paragraph, [672.0, 859.0, 358.0, 36.0], i4tjagKHfL, 5712964]
[paragraph, [672.0, 895.0, 358.0, 36.0], i4tjagKHfL, 5712964]
[paragraph, [672.0, 931.0, 358.0, 36.0], i4tjagKHfL, 5712964]
[paragraph, [672.0, 967.0, 358.0, 36.0], i4tjagKHfL, 5712964]
[paragraph, [672.0, 1003.0, 358.0, 36.0], i4tjagKHfL, 5712964]
[paragraph, [672.0, 1039.0, 358.0, 36.0], i4tjagKHfL, 5712964]
[paragraph, [672.0, 1075.0, 358.0, 36.0], i4tjagKHfL, 5712964]
[paragraph, [672.0, 1111.0, 358.0, 36.0], i4tjagKHfL, 5712964]
[paragraph, [672.0, 1147.0, 358.0, 36.0], i4tjagKHfL, 5712964]
[paragraph, [672.0, 1183.0, 358.0, 36.0], i4tjagKHfL, 5712964]
[paragraph, [672.0, 1219.0, 358.0, 36.0], i4tjagKHfL, 5712964]
[paragraph, [672.0, 1255.0, 358.0, 36.0], i4tjagKHfL, 5712964]
[paragraph, [671.0, 1306.0, 373.0, 36.0], in-JUdcEOJ, 5712964]
[paragraph, [800.0, 1365.0, 232.0, 36.0], B08PeGy0Xr, 5712964]
[folio, [120.0, 1453.0, 136.0, 36.0], 2gnwuESgwl, 5712964]
