[1806, 1178]
[ordered-list, [119.0, 94.0, 966.0, 36.0], UrIUgHbhlg, 5750725]
[ordered-list, [119.0, 130.0, 966.0, 36.0], UrIUgHbhlg, 5750725]
[ordered-list, [119.0, 166.0, 966.0, 36.0], UrIUgHbhlg, 5750725]
[ordered-list, [119.0, 202.0, 966.0, 36.0], UrIUgHbhlg, 5750725]
[paragraph, [126.0, 316.0, 924.0, 36.0], shoonya_1s0TZB5RVG54DN, 5750725]
[paragraph, [126.0, 352.0, 924.0, 36.0], shoonya_1s0TZB5RVG54DN, 5750725]
[paragraph, [126.0, 388.0, 924.0, 36.0], shoonya_1s0TZB5RVG54DN, 5750725]
[paragraph, [126.0, 424.0, 924.0, 36.0], shoonya_1s0TZB5RVG54DN, 5750725]
[paragraph, [126.0, 460.0, 924.0, 36.0], shoonya_1s0TZB5RVG54DN, 5750725]
[paragraph, [126.0, 496.0, 924.0, 36.0], shoonya_1s0TZB5RVG54DN, 5750725]
[paragraph, [126.0, 532.0, 924.0, 36.0], shoonya_1s0TZB5RVG54DN, 5750725]
[paragraph, [126.0, 568.0, 924.0, 36.0], shoonya_1s0TZB5RVG54DN, 5750725]
[paragraph, [126.0, 604.0, 924.0, 36.0], shoonya_1s0TZB5RVG54DN, 5750725]
[paragraph, [126.0, 640.0, 924.0, 36.0], shoonya_1s0TZB5RVG54DN, 5750725]
[ordered-list, [139.0, 1037.0, 906.0, 36.0], shoonya_0sK1ZVX1IU38XW, 5750725]
[ordered-list, [139.0, 1073.0, 906.0, 36.0], shoonya_0sK1ZVX1IU38XW, 5750725]
[ordered-list, [139.0, 1109.0, 906.0, 36.0], shoonya_0sK1ZVX1IU38XW, 5750725]
[ordered-list, [139.0, 1145.0, 906.0, 36.0], shoonya_0sK1ZVX1IU38XW, 5750725]
[ordered-list, [139.0, 1181.0, 906.0, 36.0], shoonya_0sK1ZVX1IU38XW, 5750725]
[ordered-list, [139.0, 1217.0, 906.0, 36.0], shoonya_0sK1ZVX1IU38XW, 5750725]
[ordered-list, [139.0, 1253.0, 906.0, 36.0], shoonya_0sK1ZVX1IU38XW, 5750725]
[ordered-list, [139.0, 1289.0, 906.0, 36.0], shoonya_0sK1ZVX1IU38XW, 5750725]
[ordered-list, [139.0, 1325.0, 906.0, 36.0], shoonya_0sK1ZVX1IU38XW, 5750725]
[ordered-list, [139.0, 1361.0, 906.0, 36.0], shoonya_0sK1ZVX1IU38XW, 5750725]
[ordered-list, [139.0, 1397.0, 906.0, 36.0], shoonya_0sK1ZVX1IU38XW, 5750725]
[ordered-list, [139.0, 1433.0, 906.0, 36.0], shoonya_0sK1ZVX1IU38XW, 5750725]
[ordered-list, [139.0, 1469.0, 906.0, 36.0], shoonya_0sK1ZVX1IU38XW, 5750725]
[ordered-list, [139.0, 1505.0, 906.0, 36.0], shoonya_0sK1ZVX1IU38XW, 5750725]
[ordered-list, [139.0, 1541.0, 906.0, 36.0], shoonya_0sK1ZVX1IU38XW, 5750725]
