[842, 595]
[folio, [266.0, 56.0, 65.0, 18.0], auOZH_NkPo, 5660910]
[chapter-title, [65.0, 75.0, 466.0, 30.0], shoonya_13sKDTR089C8MZ, 5660910]
[section-title, [106.0, 119.0, 383.0, 30.0], mO1TehCDFR, 5660910]
[ordered-list, [35.0, 325.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 343.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 361.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 379.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 397.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 415.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 433.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 451.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 469.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 487.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 505.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 523.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 541.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 559.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 577.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 595.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 613.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 631.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 649.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 667.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 685.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 703.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 721.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 739.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[ordered-list, [35.0, 757.0, 530.0, 18.0], BJ3hN0MKWc, 5660910]
[unordered-list, [75.0, 406.0, 282.0, 18.0], shoonya_0sKLMCQX2PTUWC, 5660910]
[unordered-list, [75.0, 424.0, 282.0, 18.0], shoonya_0sKLMCQX2PTUWC, 5660910]
[unordered-list, [75.0, 442.0, 282.0, 18.0], shoonya_0sKLMCQX2PTUWC, 5660910]
[sub-ordered-list, [64.0, 474.0, 488.0, 18.0], OxQa_cxxM7, 5660910]
[sub-ordered-list, [64.0, 492.0, 488.0, 18.0], OxQa_cxxM7, 5660910]
[sub-ordered-list, [64.0, 510.0, 488.0, 18.0], OxQa_cxxM7, 5660910]
[sub-ordered-list, [64.0, 528.0, 488.0, 18.0], OxQa_cxxM7, 5660910]
[sub-ordered-list, [64.0, 546.0, 488.0, 18.0], OxQa_cxxM7, 5660910]
[sub-ordered-list, [64.0, 564.0, 488.0, 18.0], OxQa_cxxM7, 5660910]
[sub-ordered-list, [64.0, 582.0, 488.0, 18.0], OxQa_cxxM7, 5660910]
[sub-ordered-list, [69.0, 688.0, 484.0, 18.0], lz2LmF3XVG, 5660910]
[sub-ordered-list, [69.0, 706.0, 484.0, 18.0], lz2LmF3XVG, 5660910]
[sub-ordered-list, [69.0, 724.0, 484.0, 18.0], lz2LmF3XVG, 5660910]
[sub-ordered-list, [69.0, 742.0, 484.0, 18.0], lz2LmF3XVG, 5660910]
[sub-ordered-list, [69.0, 760.0, 484.0, 18.0], lz2LmF3XVG, 5660910]
