[3690, 2970]
[headline, [1080.0, 342.0, 855.0, 52.5], AZsjhPSLCb, 5697926]
[headline, [1080.0, 394.5, 855.0, 52.5], AZsjhPSLCb, 5697926]
[folio, [1355.0, 473.0, 322.0, 52.5], usyFe1MBch, 5697926]
[sub-section-title, [299.0, 757.0, 334.0, 73.5], shoonya_0sX8K4R55HVZIU, 5697926]
[ordered-list, [283.0, 888.0, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 940.5, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 993.0, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1045.5, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1098.0, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1150.5, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1203.0, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1255.5, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1308.0, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1360.5, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1413.0, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1465.5, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1518.0, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1570.5, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1623.0, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1675.5, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1728.0, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1780.5, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1833.0, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1885.5, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1938.0, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 1990.5, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 2043.0, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[ordered-list, [283.0, 2095.5, 2148.0, 52.5], shoonya_5sFBLEDDJJ3XJ3, 5697926]
[sub-section-title, [591.0, 2348.0, 1827.0, 73.5], NVlCcgYWwJ, 5697926]
[ordered-list, [264.0, 2467.0, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 2519.5, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 2572.0, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 2624.5, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 2677.0, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 2729.5, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 2782.0, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 2834.5, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 2887.0, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 2939.5, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 2992.0, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 3044.5, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 3097.0, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 3149.5, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 3202.0, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 3254.5, 1522.0, 52.5], aSgZODYaqQ, 5697926]
[ordered-list, [264.0, 3307.0, 1522.0, 52.5], aSgZODYaqQ, 5697926]
