[1387, 987]
[paragraph, [55.0, 46.0, 905.0, 18.0], shoonya_0sHU9T6RW3X8YW, 5651928]
[paragraph, [55.0, 64.0, 905.0, 18.0], shoonya_0sHU9T6RW3X8YW, 5651928]
[paragraph, [55.0, 82.0, 905.0, 18.0], shoonya_0sHU9T6RW3X8YW, 5651928]
[paragraph, [55.0, 100.0, 905.0, 18.0], shoonya_0sHU9T6RW3X8YW, 5651928]
[paragraph, [55.0, 118.0, 905.0, 18.0], shoonya_0sHU9T6RW3X8YW, 5651928]
[paragraph, [55.0, 136.0, 905.0, 18.0], shoonya_0sHU9T6RW3X8YW, 5651928]
[paragraph, [55.0, 154.0, 905.0, 18.0], shoonya_0sHU9T6RW3X8YW, 5651928]
[paragraph, [55.0, 172.0, 905.0, 18.0], shoonya_0sHU9T6RW3X8YW, 5651928]
[paragraph, [55.0, 190.0, 905.0, 18.0], shoonya_0sHU9T6RW3X8YW, 5651928]
[paragraph, [41.0, 219.0, 945.0, 18.0], fiBMWCal0J, 5651928]
[paragraph, [41.0, 237.0, 945.0, 18.0], fiBMWCal0J, 5651928]
[paragraph, [41.0, 255.0, 945.0, 18.0], fiBMWCal0J, 5651928]
[paragraph, [24.0, 281.0, 951.0, 18.0], obaa0UelBA, 5651928]
[paragraph, [24.0, 299.0, 951.0, 18.0], obaa0UelBA, 5651928]
[paragraph, [24.0, 317.0, 951.0, 18.0], obaa0UelBA, 5651928]
[paragraph, [24.0, 335.0, 951.0, 18.0], obaa0UelBA, 5651928]
[paragraph, [24.0, 353.0, 951.0, 18.0], obaa0UelBA, 5651928]
[paragraph, [24.0, 371.0, 951.0, 18.0], obaa0UelBA, 5651928]
[paragraph, [24.0, 389.0, 951.0, 18.0], obaa0UelBA, 5651928]
[paragraph, [24.0, 407.0, 951.0, 18.0], obaa0UelBA, 5651928]
[paragraph, [24.0, 425.0, 951.0, 18.0], obaa0UelBA, 5651928]
[paragraph, [24.0, 443.0, 951.0, 18.0], obaa0UelBA, 5651928]
[paragraph, [24.0, 461.0, 951.0, 18.0], obaa0UelBA, 5651928]
[paragraph, [24.0, 479.0, 951.0, 18.0], obaa0UelBA, 5651928]
[paragraph, [65.0, 514.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [65.0, 532.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [65.0, 550.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [65.0, 568.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [65.0, 586.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [65.0, 604.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [65.0, 622.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [65.0, 640.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [65.0, 658.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [65.0, 676.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [65.0, 694.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [65.0, 712.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [65.0, 730.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [65.0, 748.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [65.0, 766.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [65.0, 784.0, 921.0, 18.0], EFRKjX2gp4, 5651928]
[paragraph, [89.0, 811.0, 883.0, 18.0], 07x9Qia1a-, 5651928]
[paragraph, [89.0, 829.0, 883.0, 18.0], 07x9Qia1a-, 5651928]
[paragraph, [89.0, 847.0, 883.0, 18.0], 07x9Qia1a-, 5651928]
[paragraph, [64.0, 880.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [64.0, 898.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [64.0, 916.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [64.0, 934.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [64.0, 952.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [64.0, 970.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [64.0, 988.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [64.0, 1006.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [64.0, 1024.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [64.0, 1042.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [64.0, 1060.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [64.0, 1078.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [64.0, 1096.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [64.0, 1114.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [64.0, 1132.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [64.0, 1150.0, 900.0, 18.0], s6hktTcc97, 5651928]
[paragraph, [80.0, 1182.0, 906.0, 18.0], 6UK7nJHC7J, 5651928]
[paragraph, [80.0, 1200.0, 906.0, 18.0], 6UK7nJHC7J, 5651928]
[paragraph, [80.0, 1218.0, 906.0, 18.0], 6UK7nJHC7J, 5651928]
[paragraph, [80.0, 1236.0, 906.0, 18.0], 6UK7nJHC7J, 5651928]
