[1806, 1262]
[folio, [176.0, 94.0, 495.0, 36.0], 0moCuYzt3Z, 5681251]
[paragraph, [655.0, 172.0, 496.0, 36.0], shoonya_3s2EB5KB0H9MRO, 5681251]
[paragraph, [655.0, 208.0, 496.0, 36.0], shoonya_3s2EB5KB0H9MRO, 5681251]
[paragraph, [110.0, 173.0, 501.0, 36.0], shoonya_7sOZ107PNR4NPO, 5681251]
[paragraph, [110.0, 209.0, 501.0, 36.0], shoonya_7sOZ107PNR4NPO, 5681251]
[paragraph, [110.0, 245.0, 501.0, 36.0], shoonya_7sOZ107PNR4NPO, 5681251]
[paragraph, [655.0, 250.0, 496.0, 36.0], WIPfRNy_ul, 5681251]
[paragraph, [655.0, 286.0, 496.0, 36.0], WIPfRNy_ul, 5681251]
[paragraph, [655.0, 322.0, 496.0, 36.0], WIPfRNy_ul, 5681251]
[paragraph, [655.0, 358.0, 496.0, 36.0], WIPfRNy_ul, 5681251]
[paragraph, [655.0, 394.0, 496.0, 36.0], WIPfRNy_ul, 5681251]
[paragraph, [655.0, 430.0, 496.0, 36.0], WIPfRNy_ul, 5681251]
[paragraph, [655.0, 466.0, 496.0, 36.0], WIPfRNy_ul, 5681251]
[paragraph, [655.0, 502.0, 496.0, 36.0], WIPfRNy_ul, 5681251]
[paragraph, [655.0, 538.0, 496.0, 36.0], WIPfRNy_ul, 5681251]
[paragraph, [655.0, 574.0, 496.0, 36.0], WIPfRNy_ul, 5681251]
[paragraph, [655.0, 610.0, 496.0, 36.0], WIPfRNy_ul, 5681251]
[paragraph, [655.0, 646.0, 496.0, 36.0], WIPfRNy_ul, 5681251]
[paragraph, [98.0, 286.0, 509.0, 36.0], SGfksziTlz, 5681251]
[paragraph, [98.0, 322.0, 509.0, 36.0], SGfksziTlz, 5681251]
[paragraph, [98.0, 358.0, 509.0, 36.0], SGfksziTlz, 5681251]
[paragraph, [98.0, 394.0, 509.0, 36.0], SGfksziTlz, 5681251]
[paragraph, [95.0, 475.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 511.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 547.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 583.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 619.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 655.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 691.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 727.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 763.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 799.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 835.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 871.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 907.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 943.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 979.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 1015.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 1051.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 1087.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [95.0, 1123.0, 518.0, 36.0], shoonya_0sY4C0WFN1MLWU, 5681251]
[paragraph, [664.0, 715.0, 490.0, 36.0], shoonya_8s2ISZXOEIMVHX, 5681251]
[paragraph, [664.0, 751.0, 490.0, 36.0], shoonya_8s2ISZXOEIMVHX, 5681251]
