[1951, 1219]
[folio, [797.0, 117.0, 192.0, 36.0], shoonya_0s86L7J8F1RCN0, 5682796]
[paragraph, [138.0, 204.0, 976.0, 36.0], s3eK6XFB7Q, 5682796]
[paragraph, [138.0, 240.0, 976.0, 36.0], s3eK6XFB7Q, 5682796]
[paragraph, [138.0, 276.0, 976.0, 36.0], s3eK6XFB7Q, 5682796]
[paragraph, [212.0, 332.0, 611.0, 36.0], tNrDvWagVO, 5682796]
[paragraph, [130.0, 389.0, 982.0, 36.0], IYQvHrpRJO, 5682796]
[paragraph, [130.0, 425.0, 982.0, 36.0], IYQvHrpRJO, 5682796]
[paragraph, [130.0, 461.0, 982.0, 36.0], IYQvHrpRJO, 5682796]
[paragraph, [130.0, 497.0, 982.0, 36.0], IYQvHrpRJO, 5682796]
[paragraph, [128.0, 560.0, 982.0, 36.0], 86rA_Rg6yO, 5682796]
[paragraph, [128.0, 596.0, 982.0, 36.0], 86rA_Rg6yO, 5682796]
[paragraph, [128.0, 632.0, 982.0, 36.0], 86rA_Rg6yO, 5682796]
[paragraph, [128.0, 668.0, 982.0, 36.0], 86rA_Rg6yO, 5682796]
[paragraph, [128.0, 704.0, 982.0, 36.0], 86rA_Rg6yO, 5682796]
[paragraph, [128.0, 740.0, 982.0, 36.0], 86rA_Rg6yO, 5682796]
[paragraph, [128.0, 790.0, 980.0, 36.0], t8WIoKDb3r, 5682796]
[paragraph, [128.0, 826.0, 980.0, 36.0], t8WIoKDb3r, 5682796]
[paragraph, [128.0, 862.0, 980.0, 36.0], t8WIoKDb3r, 5682796]
[paragraph, [128.0, 898.0, 980.0, 36.0], t8WIoKDb3r, 5682796]
[paragraph, [124.0, 964.0, 984.0, 36.0], vvkidpW6Op, 5682796]
[paragraph, [124.0, 1000.0, 984.0, 36.0], vvkidpW6Op, 5682796]
[paragraph, [124.0, 1036.0, 984.0, 36.0], vvkidpW6Op, 5682796]
[paragraph, [124.0, 1072.0, 984.0, 36.0], vvkidpW6Op, 5682796]
[paragraph, [126.0, 1139.0, 982.0, 36.0], GSo5yMB4jK, 5682796]
[paragraph, [126.0, 1175.0, 982.0, 36.0], GSo5yMB4jK, 5682796]
[paragraph, [126.0, 1211.0, 982.0, 36.0], GSo5yMB4jK, 5682796]
[paragraph, [126.0, 1247.0, 982.0, 36.0], GSo5yMB4jK, 5682796]
[paragraph, [122.0, 1312.0, 984.0, 36.0], 6LSbjpVD3L, 5682796]
[paragraph, [122.0, 1348.0, 984.0, 36.0], 6LSbjpVD3L, 5682796]
[paragraph, [122.0, 1384.0, 984.0, 36.0], 6LSbjpVD3L, 5682796]
[paragraph, [122.0, 1420.0, 984.0, 36.0], 6LSbjpVD3L, 5682796]
[paragraph, [122.0, 1456.0, 984.0, 36.0], 6LSbjpVD3L, 5682796]
[paragraph, [122.0, 1492.0, 984.0, 36.0], 6LSbjpVD3L, 5682796]
[paragraph, [122.0, 1528.0, 984.0, 36.0], 6LSbjpVD3L, 5682796]
[paragraph, [122.0, 1602.0, 982.0, 36.0], fAirSQ9L00, 5682796]
[paragraph, [122.0, 1638.0, 982.0, 36.0], fAirSQ9L00, 5682796]
[paragraph, [122.0, 1674.0, 982.0, 36.0], fAirSQ9L00, 5682796]
[paragraph, [122.0, 1710.0, 982.0, 36.0], fAirSQ9L00, 5682796]
[paragraph, [122.0, 1746.0, 982.0, 36.0], fAirSQ9L00, 5682796]
[paragraph, [122.0, 1782.0, 982.0, 36.0], fAirSQ9L00, 5682796]
