[2339, 1653]
[paragraph, [317.0, 146.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 182.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 218.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 254.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 290.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 326.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 362.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 398.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 434.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 470.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 506.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 542.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 578.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 614.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 650.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 686.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 722.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 758.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 794.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 830.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 866.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 902.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 938.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 974.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 1010.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 1046.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 1082.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 1118.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 1154.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 1190.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 1226.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 1262.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 1298.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 1334.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 1370.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 1406.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 1442.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
[paragraph, [317.0, 1478.0, 1151.0, 36.0], shoonya_0sZTW1INORT8Q4, 5734187]
