[3508, 2481]
[contact-info, [577.0, 97.0, 1331.0, 52.5], 7_Xozu-ocX, 6516182]
[contact-info, [577.0, 149.5, 1331.0, 52.5], 7_Xozu-ocX, 6516182]
[contact-info, [707.0, 452.0, 1085.0, 52.5], csRy0rtFrI, 6516182]
[contact-info, [707.0, 504.5, 1085.0, 52.5], csRy0rtFrI, 6516182]
[contact-info, [707.0, 557.0, 1085.0, 52.5], csRy0rtFrI, 6516182]
[section-title, [1005.0, 670.0, 460.0, 93.0], z5FXFFAEtY, 6516182]
[paragraph, [214.0, 1150.0, 279.0, 52.5], QKNx6yI5jN, 6516182]
[paragraph, [222.0, 1273.0, 2038.0, 52.5], shoonya_0sNXXXDOJA2U6Q, 6516182]
[paragraph, [222.0, 1325.5, 2038.0, 52.5], shoonya_0sNXXXDOJA2U6Q, 6516182]
[paragraph, [222.0, 1378.0, 2038.0, 52.5], shoonya_0sNXXXDOJA2U6Q, 6516182]
[paragraph, [222.0, 1430.5, 2038.0, 52.5], shoonya_0sNXXXDOJA2U6Q, 6516182]
[paragraph, [222.0, 1483.0, 2038.0, 52.5], shoonya_0sNXXXDOJA2U6Q, 6516182]
[paragraph, [222.0, 1535.5, 2038.0, 52.5], shoonya_0sNXXXDOJA2U6Q, 6516182]
[paragraph, [215.0, 1862.0, 2074.0, 52.5], shoonya_2sCGOT5EBBZCJU, 6516182]
[paragraph, [215.0, 1914.5, 2074.0, 52.5], shoonya_2sCGOT5EBBZCJU, 6516182]
[paragraph, [215.0, 1967.0, 2074.0, 52.5], shoonya_2sCGOT5EBBZCJU, 6516182]
[paragraph, [215.0, 2019.5, 2074.0, 52.5], shoonya_2sCGOT5EBBZCJU, 6516182]
[figure-caption, [1814.0, 2385.0, 486.0, 52.5], eHDjC55oUR, 6516182]
[figure-caption, [1814.0, 2437.5, 486.0, 52.5], eHDjC55oUR, 6516182]
[contact-info, [1755.0, 3265.0, 539.0, 52.5], shoonya_3sGEXVUOU8E327, 6516182]
[contact-info, [1755.0, 3317.5, 539.0, 52.5], shoonya_3sGEXVUOU8E327, 6516182]
