[864, 612]
[paragraph, [67.0, 71.0, 475.0, 18.0], 1hEn2S9Nbx, 5717613]
[paragraph, [67.0, 89.0, 475.0, 18.0], 1hEn2S9Nbx, 5717613]
[paragraph, [67.0, 107.0, 475.0, 18.0], 1hEn2S9Nbx, 5717613]
[paragraph, [67.0, 125.0, 475.0, 18.0], 1hEn2S9Nbx, 5717613]
[paragraph, [67.0, 143.0, 475.0, 18.0], 1hEn2S9Nbx, 5717613]
[paragraph, [67.0, 161.0, 475.0, 18.0], 1hEn2S9Nbx, 5717613]
[ordered-list, [75.0, 193.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 211.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 229.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 247.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 265.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 283.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 301.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 319.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 337.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 355.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 373.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 391.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 409.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 427.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 445.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 463.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 481.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 499.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 517.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 535.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 553.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 571.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 589.0, 462.0, 18.0], eDxzJAIVN2, 5717613]
[ordered-list, [75.0, 625.0, 468.0, 18.0], shoonya_1sNX7YC6QRJWSD, 5717613]
[ordered-list, [75.0, 643.0, 468.0, 18.0], shoonya_1sNX7YC6QRJWSD, 5717613]
[ordered-list, [75.0, 661.0, 468.0, 18.0], shoonya_1sNX7YC6QRJWSD, 5717613]
[ordered-list, [75.0, 679.0, 468.0, 18.0], shoonya_1sNX7YC6QRJWSD, 5717613]
[ordered-list, [75.0, 697.0, 468.0, 18.0], shoonya_1sNX7YC6QRJWSD, 5717613]
[ordered-list, [75.0, 715.0, 468.0, 18.0], shoonya_1sNX7YC6QRJWSD, 5717613]
[sub-ordered-list, [129.0, 701.0, 271.0, 18.0], Kr-CbnL11i, 5717613]
