[2200, 1700]
[paragraph, [301.0, 43.0, 1100.0, 36.0], shoonya_0sT2II5PEU07EI, 5731542]
[paragraph, [301.0, 79.0, 1100.0, 36.0], shoonya_0sT2II5PEU07EI, 5731542]
[paragraph, [301.0, 115.0, 1100.0, 36.0], shoonya_0sT2II5PEU07EI, 5731542]
[paragraph, [301.0, 151.0, 1100.0, 36.0], shoonya_0sT2II5PEU07EI, 5731542]
[paragraph, [301.0, 187.0, 1100.0, 36.0], shoonya_0sT2II5PEU07EI, 5731542]
[paragraph, [301.0, 223.0, 1100.0, 36.0], shoonya_0sT2II5PEU07EI, 5731542]
[paragraph, [301.0, 259.0, 1100.0, 36.0], shoonya_0sT2II5PEU07EI, 5731542]
[paragraph, [301.0, 295.0, 1100.0, 36.0], shoonya_0sT2II5PEU07EI, 5731542]
[paragraph, [301.0, 331.0, 1100.0, 36.0], shoonya_0sT2II5PEU07EI, 5731542]
[paragraph, [301.0, 367.0, 1100.0, 36.0], shoonya_0sT2II5PEU07EI, 5731542]
[paragraph, [301.0, 403.0, 1100.0, 36.0], shoonya_0sT2II5PEU07EI, 5731542]
[paragraph, [301.0, 439.0, 1100.0, 36.0], shoonya_0sT2II5PEU07EI, 5731542]
[paragraph, [301.0, 475.0, 1100.0, 36.0], shoonya_0sT2II5PEU07EI, 5731542]
[paragraph, [301.0, 511.0, 1100.0, 36.0], shoonya_0sT2II5PEU07EI, 5731542]
[paragraph, [303.0, 552.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 588.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 624.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 660.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 696.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 732.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 768.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 804.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 840.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 876.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 912.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 948.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 984.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1020.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1056.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1092.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1128.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1164.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1200.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1236.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1272.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1308.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1344.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1380.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1416.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1452.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1488.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1524.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1560.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1596.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1632.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1668.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1704.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1740.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1776.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1812.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1848.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[paragraph, [303.0, 1884.0, 1121.0, 36.0], shoonya_1s54URRXN7U0ZD, 5731542]
[folio, [976.0, 1996.0, 360.0, 36.0], yznaa08app, 5731542]
