[1725, 1313]
[headline, [123.0, 241.0, 1079.0, 37.5], MShVSZdYZ0, 5771971]
[headline, [123.0, 278.5, 1079.0, 37.5], MShVSZdYZ0, 5771971]
[headline, [123.0, 316.0, 1079.0, 37.5], MShVSZdYZ0, 5771971]
[headline, [123.0, 353.5, 1079.0, 37.5], MShVSZdYZ0, 5771971]
[headline, [123.0, 391.0, 1079.0, 37.5], MShVSZdYZ0, 5771971]
[headline, [123.0, 428.5, 1079.0, 37.5], MShVSZdYZ0, 5771971]
[headline, [123.0, 466.0, 1079.0, 37.5], MShVSZdYZ0, 5771971]
[paragraph, [234.0, 572.0, 832.0, 36.0], h4hBexsiYz, 5771971]
[paragraph, [234.0, 608.0, 832.0, 36.0], h4hBexsiYz, 5771971]
[paragraph, [234.0, 644.0, 832.0, 36.0], h4hBexsiYz, 5771971]
[paragraph, [234.0, 680.0, 832.0, 36.0], h4hBexsiYz, 5771971]
[paragraph, [250.0, 730.0, 811.0, 36.0], shoonya_9sROCOYRFTD5I3, 5771971]
[paragraph, [250.0, 766.0, 811.0, 36.0], shoonya_9sROCOYRFTD5I3, 5771971]
[paragraph, [250.0, 802.0, 811.0, 36.0], shoonya_9sROCOYRFTD5I3, 5771971]
[paragraph, [250.0, 838.0, 811.0, 36.0], shoonya_9sROCOYRFTD5I3, 5771971]
[paragraph, [659.0, 932.0, 535.0, 36.0], alqWvt6EV6, 5771971]
[paragraph, [659.0, 968.0, 535.0, 36.0], alqWvt6EV6, 5771971]
[paragraph, [124.0, 982.0, 526.0, 36.0], shoonya_0sHLWEQQ6BFED4, 5771971]
[paragraph, [124.0, 1018.0, 526.0, 36.0], shoonya_0sHLWEQQ6BFED4, 5771971]
[paragraph, [124.0, 1054.0, 526.0, 36.0], shoonya_0sHLWEQQ6BFED4, 5771971]
[paragraph, [124.0, 1090.0, 526.0, 36.0], shoonya_0sHLWEQQ6BFED4, 5771971]
[paragraph, [124.0, 1126.0, 526.0, 36.0], shoonya_0sHLWEQQ6BFED4, 5771971]
[paragraph, [124.0, 1162.0, 526.0, 36.0], shoonya_0sHLWEQQ6BFED4, 5771971]
[paragraph, [658.0, 1042.0, 538.0, 36.0], UV2yfzP38K, 5771971]
[paragraph, [658.0, 1078.0, 538.0, 36.0], UV2yfzP38K, 5771971]
[paragraph, [658.0, 1114.0, 538.0, 36.0], UV2yfzP38K, 5771971]
[paragraph, [662.0, 1178.0, 531.0, 36.0], shoonya_2sAD3J847M9N8P, 5771971]
[paragraph, [662.0, 1214.0, 531.0, 36.0], shoonya_2sAD3J847M9N8P, 5771971]
[paragraph, [662.0, 1250.0, 531.0, 36.0], shoonya_2sAD3J847M9N8P, 5771971]
[paragraph, [662.0, 1286.0, 531.0, 36.0], shoonya_2sAD3J847M9N8P, 5771971]
[paragraph, [662.0, 1322.0, 531.0, 36.0], shoonya_2sAD3J847M9N8P, 5771971]
[paragraph, [118.0, 1213.0, 531.0, 36.0], shoonya_3sEMLG2B7K9PPR, 5771971]
[paragraph, [118.0, 1249.0, 531.0, 36.0], shoonya_3sEMLG2B7K9PPR, 5771971]
[paragraph, [120.0, 1321.0, 527.0, 36.0], shoonya_1s555K5E9QSF0Z, 5771971]
[paragraph, [120.0, 1357.0, 527.0, 36.0], shoonya_1s555K5E9QSF0Z, 5771971]
[paragraph, [120.0, 1393.0, 527.0, 36.0], shoonya_1s555K5E9QSF0Z, 5771971]
[paragraph, [670.0, 1384.0, 518.0, 36.0], shoonya_6sY9SEQW9E3QZ0, 5771971]
[folio, [574.0, 1575.0, 144.0, 36.0], QASBY3GZQC, 5771971]
[folio, [80.0, 1672.0, 279.0, 36.0], LA0niaAXLe, 5771971]
