[1248, 911]
[chapter-title, [267.0, 37.0, 283.0, 30.0], shoonya_0s7JTX2XD7OJ8H, 5776088]
[paragraph, [89.0, 83.0, 635.0, 18.0], N0l7UeDHgZ, 5776088]
[paragraph, [89.0, 114.0, 257.0, 18.0], Pvzn5B0RAw, 5776088]
[paragraph, [88.0, 138.0, 644.0, 18.0], jA72Kc2TBq, 5776088]
[paragraph, [88.0, 156.0, 644.0, 18.0], jA72Kc2TBq, 5776088]
[paragraph, [88.0, 174.0, 644.0, 18.0], jA72Kc2TBq, 5776088]
[paragraph, [88.0, 192.0, 644.0, 18.0], jA72Kc2TBq, 5776088]
[paragraph, [86.0, 214.0, 650.0, 18.0], corwtnpI6C, 5776088]
[paragraph, [86.0, 232.0, 650.0, 18.0], corwtnpI6C, 5776088]
[paragraph, [86.0, 250.0, 650.0, 18.0], corwtnpI6C, 5776088]
[paragraph, [86.0, 268.0, 650.0, 18.0], corwtnpI6C, 5776088]
[paragraph, [86.0, 288.0, 650.0, 18.0], v5xbZf8zBa, 5776088]
[paragraph, [86.0, 306.0, 650.0, 18.0], v5xbZf8zBa, 5776088]
[paragraph, [84.0, 342.0, 652.0, 18.0], fvonqf0h5y, 5776088]
[paragraph, [84.0, 360.0, 652.0, 18.0], fvonqf0h5y, 5776088]
[paragraph, [95.0, 392.0, 463.0, 18.0], _xCFjizaoH, 5776088]
[paragraph, [89.0, 416.0, 375.0, 18.0], dhQnqfE3ai, 5776088]
[paragraph, [88.0, 436.0, 588.0, 18.0], 0vR59VDQt_, 5776088]
[paragraph, [88.0, 464.0, 645.0, 18.0], tjRZnrM-ms, 5776088]
[paragraph, [88.0, 482.0, 645.0, 18.0], tjRZnrM-ms, 5776088]
[paragraph, [83.0, 512.0, 649.0, 18.0], -MW-Y2mYsY, 5776088]
[paragraph, [83.0, 530.0, 649.0, 18.0], -MW-Y2mYsY, 5776088]
[paragraph, [85.0, 563.0, 625.0, 18.0], le8lW3A9P5, 5776088]
[paragraph, [82.0, 593.0, 662.0, 18.0], fn21W2y6Nu, 5776088]
[paragraph, [82.0, 611.0, 662.0, 18.0], fn21W2y6Nu, 5776088]
[paragraph, [79.0, 642.0, 664.0, 18.0], T_PcqsYhm_, 5776088]
[paragraph, [79.0, 660.0, 664.0, 18.0], T_PcqsYhm_, 5776088]
[paragraph, [76.0, 691.0, 667.0, 18.0], Hfk2ZGlabt, 5776088]
[paragraph, [76.0, 709.0, 667.0, 18.0], Hfk2ZGlabt, 5776088]
[paragraph, [76.0, 727.0, 667.0, 18.0], Hfk2ZGlabt, 5776088]
[paragraph, [76.0, 745.0, 667.0, 18.0], Hfk2ZGlabt, 5776088]
[paragraph, [106.0, 766.0, 372.0, 18.0], hDRhbqxU_c, 5776088]
[paragraph, [85.0, 791.0, 662.0, 18.0], O3-7b_LQMD, 5776088]
[paragraph, [85.0, 809.0, 662.0, 18.0], O3-7b_LQMD, 5776088]
[paragraph, [83.0, 844.0, 666.0, 18.0], gi41nR2Bu7, 5776088]
[paragraph, [83.0, 862.0, 666.0, 18.0], gi41nR2Bu7, 5776088]
[paragraph, [85.0, 893.0, 661.0, 18.0], UcWDrpqm_C, 5776088]
[paragraph, [85.0, 911.0, 661.0, 18.0], UcWDrpqm_C, 5776088]
[paragraph, [85.0, 929.0, 661.0, 18.0], UcWDrpqm_C, 5776088]
[paragraph, [85.0, 947.0, 661.0, 18.0], UcWDrpqm_C, 5776088]
[paragraph, [113.0, 965.0, 542.0, 18.0], 0YKVIGfabm, 5776088]
[paragraph, [79.0, 994.0, 668.0, 18.0], B9mCKyr3G7, 5776088]
[paragraph, [79.0, 1012.0, 668.0, 18.0], B9mCKyr3G7, 5776088]
[paragraph, [79.0, 1030.0, 668.0, 18.0], B9mCKyr3G7, 5776088]
[paragraph, [79.0, 1048.0, 668.0, 18.0], B9mCKyr3G7, 5776088]
[paragraph, [79.0, 1066.0, 668.0, 18.0], B9mCKyr3G7, 5776088]
