[1320, 1176]
[headline, [406.0, 167.0, 375.0, 25.5], GMdSy_uamO, 5693943]
[headline, [406.0, 192.5, 375.0, 25.5], GMdSy_uamO, 5693943]
[author, [484.0, 238.0, 210.0, 18.0], FrVOL8oSil, 5693943]
[author, [484.0, 256.0, 210.0, 18.0], FrVOL8oSil, 5693943]
[paragraph, [764.0, 240.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 258.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 276.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 294.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 312.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 330.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 348.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 366.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 384.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 402.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 420.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 438.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 456.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 474.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 492.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 510.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 528.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 546.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 564.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 582.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 600.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 618.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 636.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 654.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 672.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 690.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 708.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 726.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 744.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 762.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 780.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 798.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [764.0, 816.0, 324.0, 18.0], shoonya_0s909CJ74G74FL, 5693943]
[paragraph, [88.0, 251.0, 323.0, 18.0], shoonya_1sEXLY9VWDVICV, 5693943]
