[2481, 1654]
[folio, [1189.0, 107.0, 116.0, 36.0], shoonya_2sI11QFR7SNVBV, 5720941]
[paragraph, [164.0, 221.0, 1270.0, 36.0], shoonya_1s6LQTG4OO5MHZ, 5720941]
[paragraph, [164.0, 257.0, 1270.0, 36.0], shoonya_1s6LQTG4OO5MHZ, 5720941]
[paragraph, [225.0, 320.0, 547.0, 36.0], v8PfjZzSmo, 5720941]
[paragraph, [231.0, 376.0, 293.0, 36.0], U29hcjjOaI, 5720941]
[paragraph, [227.0, 419.0, 301.0, 36.0], 10rP2HN6DN, 5720941]
[paragraph, [229.0, 473.0, 252.0, 36.0], f9-RDiPLBX, 5720941]
[paragraph, [223.0, 525.0, 1209.0, 36.0], vCtAdcNuUF, 5720941]
[paragraph, [223.0, 561.0, 1209.0, 36.0], vCtAdcNuUF, 5720941]
[paragraph, [167.0, 622.0, 1265.0, 36.0], fXb7OH6lDu, 5720941]
[paragraph, [167.0, 658.0, 1265.0, 36.0], fXb7OH6lDu, 5720941]
[paragraph, [219.0, 725.0, 1182.0, 36.0], 2h0vHBQrUO, 5720941]
[paragraph, [233.0, 777.0, 831.0, 36.0], hu-XtODAci, 5720941]
[paragraph, [229.0, 820.0, 661.0, 36.0], JY-rOavHQ7, 5720941]
[paragraph, [231.0, 872.0, 767.0, 36.0], zhH4__XYC0, 5720941]
[paragraph, [165.0, 930.0, 1277.0, 36.0], dV7sexJSdr, 5720941]
[paragraph, [165.0, 966.0, 1277.0, 36.0], dV7sexJSdr, 5720941]
[paragraph, [165.0, 1002.0, 1277.0, 36.0], dV7sexJSdr, 5720941]
[paragraph, [165.0, 1038.0, 1277.0, 36.0], dV7sexJSdr, 5720941]
[paragraph, [165.0, 1074.0, 1277.0, 36.0], dV7sexJSdr, 5720941]
[paragraph, [231.0, 1126.0, 963.0, 36.0], a7luDJZgi4, 5720941]
[paragraph, [167.0, 1180.0, 1273.0, 36.0], A-NJATXcfv, 5720941]
[paragraph, [167.0, 1216.0, 1273.0, 36.0], A-NJATXcfv, 5720941]
[paragraph, [167.0, 1252.0, 1273.0, 36.0], A-NJATXcfv, 5720941]
[paragraph, [163.0, 1325.0, 1271.0, 36.0], 8mTSzUEr6n, 5720941]
[paragraph, [163.0, 1361.0, 1271.0, 36.0], 8mTSzUEr6n, 5720941]
[paragraph, [163.0, 1397.0, 1271.0, 36.0], 8mTSzUEr6n, 5720941]
[paragraph, [163.0, 1433.0, 1271.0, 36.0], 8mTSzUEr6n, 5720941]
[paragraph, [163.0, 1469.0, 1271.0, 36.0], 8mTSzUEr6n, 5720941]
[paragraph, [227.0, 1536.0, 250.0, 36.0], d59XpCVy3g, 5720941]
[paragraph, [165.0, 1583.0, 1269.0, 36.0], uVdi6XNri8, 5720941]
[paragraph, [165.0, 1619.0, 1269.0, 36.0], uVdi6XNri8, 5720941]
[paragraph, [165.0, 1655.0, 1269.0, 36.0], uVdi6XNri8, 5720941]
[paragraph, [165.0, 1691.0, 1269.0, 36.0], uVdi6XNri8, 5720941]
[paragraph, [165.0, 1727.0, 1269.0, 36.0], uVdi6XNri8, 5720941]
[paragraph, [227.0, 1784.0, 337.0, 36.0], 0sX3xNIXdM, 5720941]
[paragraph, [235.0, 1831.0, 969.0, 36.0], WqT8IIdp_4, 5720941]
[paragraph, [246.0, 1883.0, 651.0, 36.0], y25iREPmk2, 5720941]
[paragraph, [165.0, 1935.0, 1267.0, 36.0], zNQPvPb-CA, 5720941]
[paragraph, [165.0, 1971.0, 1267.0, 36.0], zNQPvPb-CA, 5720941]
[paragraph, [161.0, 2040.0, 1261.0, 36.0], EWV2_bbmvg, 5720941]
[paragraph, [161.0, 2076.0, 1261.0, 36.0], EWV2_bbmvg, 5720941]
[paragraph, [225.0, 2148.0, 642.0, 36.0], 0yeaLSZBSc, 5720941]
