[1754, 1241]
[paragraph, [214.0, 140.0, 883.0, 36.0], shoonya_3s1LNR43OND7Y2, 5714230]
[paragraph, [214.0, 176.0, 883.0, 36.0], shoonya_3s1LNR43OND7Y2, 5714230]
[paragraph, [214.0, 212.0, 883.0, 36.0], shoonya_3s1LNR43OND7Y2, 5714230]
[paragraph, [214.0, 248.0, 883.0, 36.0], shoonya_3s1LNR43OND7Y2, 5714230]
[paragraph, [214.0, 284.0, 883.0, 36.0], shoonya_3s1LNR43OND7Y2, 5714230]
[paragraph, [424.0, 374.0, 582.0, 36.0], shoonya_4sRBEFZ52F5Q5O, 5714230]
[paragraph, [424.0, 410.0, 582.0, 36.0], shoonya_4sRBEFZ52F5Q5O, 5714230]
[paragraph, [424.0, 446.0, 582.0, 36.0], shoonya_4sRBEFZ52F5Q5O, 5714230]
[paragraph, [424.0, 482.0, 582.0, 36.0], shoonya_4sRBEFZ52F5Q5O, 5714230]
[paragraph, [424.0, 518.0, 582.0, 36.0], shoonya_4sRBEFZ52F5Q5O, 5714230]
[paragraph, [424.0, 554.0, 582.0, 36.0], shoonya_4sRBEFZ52F5Q5O, 5714230]
[paragraph, [424.0, 590.0, 582.0, 36.0], shoonya_4sRBEFZ52F5Q5O, 5714230]
[paragraph, [424.0, 626.0, 582.0, 36.0], shoonya_4sRBEFZ52F5Q5O, 5714230]
[paragraph, [424.0, 662.0, 582.0, 36.0], shoonya_4sRBEFZ52F5Q5O, 5714230]
[paragraph, [424.0, 698.0, 582.0, 36.0], shoonya_4sRBEFZ52F5Q5O, 5714230]
[paragraph, [424.0, 734.0, 582.0, 36.0], shoonya_4sRBEFZ52F5Q5O, 5714230]
[reference, [917.0, 726.0, 90.0, 36.0], GdZxaKAQVA, 5714230]
[paragraph, [209.0, 821.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
[paragraph, [209.0, 857.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
[paragraph, [209.0, 893.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
[paragraph, [209.0, 929.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
[paragraph, [209.0, 965.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
[paragraph, [209.0, 1001.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
[paragraph, [209.0, 1037.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
[paragraph, [209.0, 1073.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
[paragraph, [209.0, 1109.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
[paragraph, [209.0, 1145.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
[paragraph, [209.0, 1181.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
[paragraph, [209.0, 1217.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
[paragraph, [209.0, 1253.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
[paragraph, [209.0, 1289.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
[paragraph, [209.0, 1325.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
[paragraph, [209.0, 1361.0, 889.0, 36.0], shoonya_1sHXAMDO5Y7WYH, 5714230]
